time,region_id,year_id,crop_id,irrigation_id,risk_level,risk_score,recommendation,factors,created_at
2020-01-20,1,2020,1,1,High,52.6,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.1, ""soil_moisture"": 19.5, ""temperature"": 28.7}",2020-01-20 01:00:00
2020-01-21,1,2020,1,1,High,56.0,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.3, ""soil_moisture"": 17.8, ""temperature"": 29.3}",2020-01-21 01:00:00
2020-01-22,1,2020,1,1,High,50.9,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 17.0, ""soil_moisture"": 18.1, ""temperature"": 28.9}",2020-01-22 01:00:00
2020-01-23,1,2020,1,1,High,51.5,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 16.1, ""temperature"": 25.1}",2020-01-23 01:00:00
2020-01-24,1,2020,1,1,High,62.7,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.4, ""soil_moisture"": 15.2, ""temperature"": 30.3}",2020-01-24 01:00:00
2020-01-25,1,2020,1,1,High,57.5,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.5, ""soil_moisture"": 14.4, ""temperature"": 27.9}",2020-01-25 01:00:00
2020-01-26,1,2020,1,1,Moderate,41.7,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.3, ""soil_moisture"": 20.1, ""temperature"": 25.8}",2020-01-26 01:00:00
2020-01-27,1,2020,1,1,Moderate,35.1,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 13.0, ""soil_moisture"": 23.8, ""temperature"": 28.6}",2020-01-27 01:00:00
2020-01-28,1,2020,1,1,Moderate,35.6,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 14.7, ""soil_moisture"": 26.1, ""temperature"": 29.0}",2020-01-28 01:00:00
2020-01-29,1,2020,1,1,Moderate,44.3,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.4, ""soil_moisture"": 24.4, ""temperature"": 29.6}",2020-01-29 01:00:00
2020-01-30,1,2020,1,1,Moderate,42.1,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 18.8, ""soil_moisture"": 23.3, ""temperature"": 28.1}",2020-01-30 01:00:00
2020-01-31,1,2020,1,1,High,52.2,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 21.0, ""temperature"": 28.4}",2020-01-31 01:00:00
2020-02-01,1,2020,1,1,Moderate,47.2,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.6, ""soil_moisture"": 19.1, ""temperature"": 27.9}",2020-02-01 01:00:00
2020-02-02,1,2020,1,1,High,50.4,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.1, ""soil_moisture"": 17.8, ""temperature"": 27.1}",2020-02-02 01:00:00
2020-02-03,1,2020,1,1,High,52.3,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.2, ""soil_moisture"": 16.3, ""temperature"": 28.5}",2020-02-03 01:00:00
2020-02-04,1,2020,1,1,High,56.7,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 17.1, ""soil_moisture"": 16.5, ""temperature"": 30.6}",2020-02-04 01:00:00
2020-02-05,1,2020,1,1,High,58.8,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.3, ""soil_moisture"": 15.7, ""temperature"": 29.8}",2020-02-05 01:00:00
2020-02-06,1,2020,1,1,High,51.7,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 15.8, ""soil_moisture"": 17.1, ""temperature"": 28.1}",2020-02-06 01:00:00
2020-02-07,1,2020,1,1,High,59.1,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.7, ""soil_moisture"": 15.1, ""temperature"": 28.3}",2020-02-07 01:00:00
2020-02-08,1,2020,1,1,High,64.8,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 12.7, ""temperature"": 28.9}",2020-02-08 01:00:00
2020-02-09,1,2020,1,1,Moderate,49.8,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 17.4, ""soil_moisture"": 18.0, ""temperature"": 28.2}",2020-02-09 01:00:00
2020-02-10,1,2020,1,1,Moderate,36.9,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 18.1, ""soil_moisture"": 24.6, ""temperature"": 26.8}",2020-02-10 01:00:00
2020-02-11,1,2020,1,1,Moderate,40.5,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 18.7, ""soil_moisture"": 23.5, ""temperature"": 27.1}",2020-02-11 01:00:00
2020-02-12,1,2020,1,1,Moderate,43.2,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 18.7, ""soil_moisture"": 22.3, ""temperature"": 26.9}",2020-02-12 01:00:00
2020-02-13,1,2020,1,1,Moderate,48.5,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.8, ""soil_moisture"": 20.2, ""temperature"": 27.5}",2020-02-13 01:00:00
2020-02-14,1,2020,1,1,High,56.2,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.8, ""soil_moisture"": 18.2, ""temperature"": 28.0}",2020-02-14 01:00:00
2020-02-15,1,2020,1,1,High,57.6,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.5, ""soil_moisture"": 16.4, ""temperature"": 28.3}",2020-02-15 01:00:00
2020-02-16,1,2020,1,1,High,58.1,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 14.1, ""temperature"": 26.6}",2020-02-16 01:00:00
2020-02-17,1,2020,1,1,High,62.9,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.4, ""soil_moisture"": 12.4, ""temperature"": 27.8}",2020-02-17 01:00:00
2020-02-18,1,2020,1,1,High,70.2,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.7, ""soil_moisture"": 10.3, ""temperature"": 29.0}",2020-02-18 01:00:00
2020-02-19,1,2020,1,1,Extreme,75.4,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.1, ""soil_moisture"": 8.6, ""temperature"": 30.6}",2020-02-19 01:00:00
2020-02-20,1,2020,1,1,High,74.3,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 6.4, ""temperature"": 27.6}",2020-02-20 01:00:00
2020-02-21,1,2020,1,1,Extreme,79.7,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.6, ""soil_moisture"": 5.0, ""temperature"": 28.7}",2020-02-21 01:00:00
2020-02-22,1,2020,1,1,Extreme,80.3,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 5.0, ""temperature"": 29.1}",2020-02-22 01:00:00
2020-02-23,1,2020,1,1,Extreme,75.5,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.3, ""soil_moisture"": 5.0, ""temperature"": 27.8}",2020-02-23 01:00:00
2020-02-24,1,2020,1,1,High,73.7,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.4, ""soil_moisture"": 5.0, ""temperature"": 27.4}",2020-02-24 01:00:00
2020-02-25,1,2020,1,1,Extreme,79.6,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.0, ""soil_moisture"": 5.0, ""temperature"": 29.3}",2020-02-25 01:00:00
2020-02-26,1,2020,1,1,Extreme,80.3,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 5.0, ""temperature"": 27.6}",2020-02-26 01:00:00
2020-02-27,1,2020,1,1,High,70.2,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.7, ""soil_moisture"": 11.1, ""temperature"": 29.9}",2020-02-27 01:00:00
2020-02-28,1,2020,1,1,High,52.6,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 14.6, ""soil_moisture"": 17.0, ""temperature"": 30.3}",2020-02-28 01:00:00
2020-02-29,1,2020,1,1,High,59.7,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 14.8, ""temperature"": 27.8}",2020-02-29 01:00:00
2020-03-01,1,2020,1,1,High,66.2,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.4, ""soil_moisture"": 12.9, ""temperature"": 28.9}",2020-03-01 01:00:00
2020-03-02,1,2020,1,1,High,66.8,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.7, ""soil_moisture"": 11.8, ""temperature"": 29.8}",2020-03-02 01:00:00
2020-03-03,1,2020,1,1,Moderate,40.9,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 9.0, ""soil_moisture"": 19.2, ""temperature"": 30.4}",2020-03-03 01:00:00
2020-03-04,1,2020,1,1,High,52.2,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.3, ""soil_moisture"": 17.5, ""temperature"": 27.5}",2020-03-04 01:00:00
2020-03-05,1,2020,1,1,High,56.9,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.6, ""soil_moisture"": 16.5, ""temperature"": 28.8}",2020-03-05 01:00:00
2020-03-06,1,2020,1,1,Moderate,32.5,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 10.6, ""soil_moisture"": 22.4, ""temperature"": 28.8}",2020-03-06 01:00:00
2020-03-07,1,2020,1,1,Moderate,29.8,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 11.5, ""soil_moisture"": 27.4, ""temperature"": 30.5}",2020-03-07 01:00:00
2020-03-08,1,2020,1,1,Moderate,36.6,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.0, ""soil_moisture"": 25.9, ""temperature"": 27.1}",2020-03-08 01:00:00
2020-03-09,1,2020,1,1,Moderate,47.5,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 23.7, ""temperature"": 28.6}",2020-03-09 01:00:00
2020-03-10,1,2020,1,1,High,51.8,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.1, ""soil_moisture"": 22.3, ""temperature"": 29.2}",2020-03-10 01:00:00
2020-03-11,1,2020,1,1,High,52.3,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.5, ""soil_moisture"": 20.3, ""temperature"": 29.6}",2020-03-11 01:00:00
2020-03-12,1,2020,1,1,Moderate,47.2,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 17.2, ""soil_moisture"": 20.4, ""temperature"": 29.4}",2020-03-12 01:00:00
2020-03-13,1,2020,1,1,High,51.3,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.3, ""soil_moisture"": 19.6, ""temperature"": 29.3}",2020-03-13 01:00:00
2020-03-14,1,2020,1,1,High,53.0,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.9, ""soil_moisture"": 18.1, ""temperature"": 28.9}",2020-03-14 01:00:00
2020-03-15,1,2020,1,1,High,58.0,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.0, ""soil_moisture"": 16.6, ""temperature"": 28.8}",2020-03-15 01:00:00
2020-03-16,1,2020,1,1,High,58.5,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.3, ""soil_moisture"": 16.0, ""temperature"": 28.4}",2020-03-16 01:00:00
2020-03-17,1,2020,1,1,High,62.6,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 13.8, ""temperature"": 28.2}",2020-03-17 01:00:00
2020-03-18,1,2020,1,1,High,72.4,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.0, ""soil_moisture"": 12.2, ""temperature"": 31.0}",2020-03-18 01:00:00
2020-03-19,1,2020,1,1,High,64.3,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 17.0, ""soil_moisture"": 12.4, ""temperature"": 29.8}",2020-03-19 01:00:00
2020-03-20,1,2020,1,1,Extreme,77.6,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 9.9, ""temperature"": 31.8}",2020-03-20 01:00:00
2020-03-21,1,2020,1,1,Extreme,79.0,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.9, ""soil_moisture"": 7.7, ""temperature"": 30.2}",2020-03-21 01:00:00
2020-03-22,1,2020,1,1,Extreme,78.3,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 18.0, ""soil_moisture"": 7.0, ""temperature"": 30.6}",2020-03-22 01:00:00
2020-03-23,1,2020,1,1,High,72.5,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.4, ""soil_moisture"": 11.2, ""temperature"": 30.1}",2020-03-23 01:00:00
2020-03-24,1,2020,1,1,Extreme,75.3,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.3, ""soil_moisture"": 9.4, ""temperature"": 30.0}",2020-03-24 01:00:00
2020-03-25,1,2020,1,1,Extreme,77.8,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.2, ""soil_moisture"": 7.8, ""temperature"": 29.3}",2020-03-25 01:00:00
2020-03-26,1,2020,1,1,Extreme,81.5,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.8, ""soil_moisture"": 5.7, ""temperature"": 29.2}",2020-03-26 01:00:00
2020-03-27,1,2020,1,1,High,71.6,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 16.1, ""soil_moisture"": 6.8, ""temperature"": 29.2}",2020-03-27 01:00:00
2020-03-28,1,2020,1,1,Extreme,85.8,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.6, ""soil_moisture"": 5.0, ""temperature"": 31.4}",2020-03-28 01:00:00
2020-03-29,1,2020,1,1,Extreme,76.5,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 5.0, ""temperature"": 27.8}",2020-03-29 01:00:00
2020-03-30,1,2020,1,1,Extreme,81.2,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 18.6, ""soil_moisture"": 5.0, ""temperature"": 29.3}",2020-03-30 01:00:00
2020-03-31,1,2020,1,1,Extreme,76.9,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 18.0, ""soil_moisture"": 5.0, ""temperature"": 27.3}",2020-03-31 01:00:00
2020-04-01,1,2020,1,1,Extreme,78.5,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 17.7, ""soil_moisture"": 5.0, ""temperature"": 29.8}",2020-04-01 01:00:00
2020-04-02,1,2020,1,1,Extreme,82.2,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.9, ""soil_moisture"": 5.0, ""temperature"": 30.0}",2020-04-02 01:00:00
2020-04-03,1,2020,1,1,Extreme,77.0,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 17.1, ""soil_moisture"": 5.2, ""temperature"": 29.2}",2020-04-03 01:00:00
2020-04-04,1,2020,1,1,Extreme,75.4,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 18.1, ""soil_moisture"": 5.0, ""temperature"": 29.6}",2020-04-04 01:00:00
2020-04-05,1,2020,1,1,High,73.6,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.4, ""soil_moisture"": 7.8, ""temperature"": 28.6}",2020-04-05 01:00:00
2020-04-06,1,2020,1,1,Extreme,80.6,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.8, ""soil_moisture"": 5.6, ""temperature"": 29.3}",2020-04-06 01:00:00
2020-04-07,1,2020,1,1,Extreme,79.5,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.7, ""soil_moisture"": 5.0, ""temperature"": 28.7}",2020-04-07 01:00:00
2020-04-08,1,2020,1,1,Extreme,79.6,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.3, ""soil_moisture"": 5.0, ""temperature"": 28.8}",2020-04-08 01:00:00
2020-04-09,1,2020,1,1,High,72.5,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 16.4, ""soil_moisture"": 5.8, ""temperature"": 27.5}",2020-04-09 01:00:00
2020-04-10,1,2020,1,1,Extreme,80.8,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 5.0, ""temperature"": 29.4}",2020-04-10 01:00:00
2020-04-11,1,2020,1,1,Extreme,82.7,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 5.0, ""temperature"": 30.3}",2020-04-11 01:00:00
2020-04-12,1,2020,1,1,Extreme,79.6,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 5.0, ""temperature"": 27.9}",2020-04-12 01:00:00
2020-04-13,1,2020,1,1,Extreme,79.2,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.0, ""soil_moisture"": 5.0, ""temperature"": 28.0}",2020-04-13 01:00:00
2020-04-14,1,2020,1,1,Extreme,78.8,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 18.9, ""soil_moisture"": 5.0, ""temperature"": 29.0}",2020-04-14 01:00:00
2020-04-15,1,2020,1,1,Extreme,81.0,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 18.6, ""soil_moisture"": 5.0, ""temperature"": 28.8}",2020-04-15 01:00:00
2020-04-16,1,2020,1,1,Extreme,82.4,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 18.2, ""soil_moisture"": 5.0, ""temperature"": 31.2}",2020-04-16 01:00:00
2020-04-17,1,2020,1,1,Extreme,83.4,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.4, ""soil_moisture"": 5.0, ""temperature"": 31.3}",2020-04-17 01:00:00
2020-04-18,1,2020,1,1,Extreme,84.9,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 5.0, ""temperature"": 30.2}",2020-04-18 01:00:00
2020-04-19,1,2020,1,1,Extreme,79.5,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 17.8, ""soil_moisture"": 5.0, ""temperature"": 30.5}",2020-04-19 01:00:00
2020-04-20,1,2020,1,1,Extreme,82.2,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 18.7, ""soil_moisture"": 5.0, ""temperature"": 30.3}",2020-04-20 01:00:00
2020-04-21,1,2020,1,1,Extreme,79.3,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 16.8, ""soil_moisture"": 5.2, ""temperature"": 30.4}",2020-04-21 01:00:00
2020-04-22,1,2020,1,1,Extreme,82.8,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 5.0, ""temperature"": 29.6}",2020-04-22 01:00:00
2020-04-23,1,2020,1,1,Extreme,76.1,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 7.6, ""temperature"": 28.5}",2020-04-23 01:00:00
2020-04-24,1,2020,1,1,Extreme,79.7,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.6, ""soil_moisture"": 5.7, ""temperature"": 28.5}",2020-04-24 01:00:00
2020-04-25,1,2020,1,1,Extreme,77.3,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.0, ""soil_moisture"": 5.0, ""temperature"": 29.3}",2020-04-25 01:00:00
2020-04-26,1,2020,1,1,High,72.5,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 16.4, ""soil_moisture"": 5.7, ""temperature"": 28.6}",2020-04-26 01:00:00
2020-04-27,1,2020,1,1,Extreme,85.3,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 17.2, ""soil_moisture"": 5.5, ""temperature"": 32.1}",2020-04-27 01:00:00
2020-04-28,1,2020,1,1,High,74.3,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.9, ""soil_moisture"": 9.4, ""temperature"": 29.7}",2020-04-28 01:00:00
2020-04-29,1,2020,1,1,High,62.4,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 14.9, ""soil_moisture"": 11.6, ""temperature"": 28.9}",2020-04-29 01:00:00
2020-04-30,1,2020,1,1,High,69.4,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.1, ""soil_moisture"": 11.0, ""temperature"": 29.1}",2020-04-30 01:00:00
2020-05-01,1,2020,1,1,High,68.2,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 17.2, ""soil_moisture"": 11.2, ""temperature"": 28.9}",2020-05-01 01:00:00
2020-05-02,1,2020,1,1,Extreme,76.8,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 18.7, ""soil_moisture"": 9.8, ""temperature"": 32.2}",2020-05-02 01:00:00
2020-05-03,1,2020,1,1,High,74.2,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.5, ""soil_moisture"": 8.6, ""temperature"": 29.4}",2020-05-03 01:00:00
2020-05-04,1,2020,1,1,Extreme,78.1,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 6.5, ""temperature"": 28.8}",2020-05-04 01:00:00
2020-05-05,1,2020,1,1,High,74.0,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 15.9, ""soil_moisture"": 7.6, ""temperature"": 30.3}",2020-05-05 01:00:00
2020-05-06,1,2020,1,1,High,69.0,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.8, ""soil_moisture"": 10.0, ""temperature"": 27.9}",2020-05-06 01:00:00
2020-05-07,1,2020,1,1,High,68.7,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 18.4, ""soil_moisture"": 11.0, ""temperature"": 30.4}",2020-05-07 01:00:00
2020-05-08,1,2020,1,1,High,73.8,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.2, ""soil_moisture"": 9.2, ""temperature"": 30.7}",2020-05-08 01:00:00
2020-05-09,1,2020,1,1,Extreme,83.1,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.7, ""soil_moisture"": 6.8, ""temperature"": 31.1}",2020-05-09 01:00:00
2020-05-10,1,2020,1,1,Extreme,78.6,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 19.4, ""soil_moisture"": 5.1, ""temperature"": 29.0}",2020-05-10 01:00:00
2020-05-11,1,2020,1,1,High,73.9,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.6, ""soil_moisture"": 9.3, ""temperature"": 28.3}",2020-05-11 01:00:00
2020-05-12,1,2020,1,1,High,73.1,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.9, ""soil_moisture"": 7.1, ""temperature"": 27.2}",2020-05-12 01:00:00
2020-05-13,1,2020,1,1,Extreme,78.1,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 17.8, ""soil_moisture"": 6.5, ""temperature"": 30.5}",2020-05-13 01:00:00
2020-05-14,1,2020,1,1,High,72.5,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 15.6, ""soil_moisture"": 8.0, ""temperature"": 29.2}",2020-05-14 01:00:00
2020-05-15,1,2020,1,1,Extreme,82.5,Immediate water conservation and emergency irrigation required.,"{""rainfall_deficit"": 20.0, ""soil_moisture"": 5.4, ""temperature"": 30.5}",2020-05-15 01:00:00
