time,region_id,year_id,rainfall_mm,seasonal_rainfall_variability,temperature_max_c,temperature_min_c,temperature_mean_c,relative_humidity_percent,wind_speed_ms,solar_radiation_mjm2day,evapotranspiration_et0_mmday,evapotranspiration_etc_mmday,updated_at
2020-01-21,1,2020,0.7,Low,29.3,14.8,22.1,72.0,2.7,20.64,6.08,6.08,2020-01-21 02:00:00
2020-01-22,1,2020,3.0,Low,28.9,14.9,21.9,73.0,2.51,21.99,6.45,6.45,2020-01-22 02:00:00
2020-01-23,1,2020,0.0,Low,25.1,16.1,20.6,73.0,2.77,20.3,5.85,5.85,2020-01-23 02:00:00
2020-01-24,1,2020,1.6,Low,30.3,16.0,23.2,69.0,2.85,20.67,6.22,6.22,2020-01-24 02:00:00
2020-01-25,1,2020,1.5,Low,27.9,14.9,21.4,73.0,3.19,20.44,5.97,5.97,2020-01-25 02:00:00
2020-01-26,1,2020,0.7,Low,25.8,16.5,21.2,79.0,2.86,23.0,6.64,6.64,2020-01-26 02:00:00
2020-01-27,1,2020,7.0,Low,28.6,16.2,22.4,70.0,3.02,21.79,6.47,6.47,2020-01-27 02:00:00
2020-01-28,1,2020,5.3,Low,29.0,17.5,23.2,68.0,3.5,21.12,6.39,6.39,2020-01-28 02:00:00
2020-01-29,1,2020,0.6,Low,29.6,15.4,22.5,73.0,3.0,21.55,6.39,6.39,2020-01-29 02:00:00
2020-01-30,1,2020,1.2,Low,28.1,14.5,21.3,74.0,3.3,20.16,5.88,5.88,2020-01-30 02:00:00
2020-01-31,1,2020,0.0,Low,28.4,14.6,21.5,67.0,3.04,22.18,6.51,6.51,2020-01-31 02:00:00
2020-02-01,1,2020,0.4,Low,27.9,15.9,21.9,80.0,2.87,21.02,6.14,6.14,2020-02-01 02:00:00
2020-02-02,1,2020,0.9,Low,27.1,16.5,21.8,74.0,2.81,19.68,5.78,5.78,2020-02-02 02:00:00
2020-02-03,1,2020,0.8,Low,28.5,15.8,22.1,81.0,3.44,21.72,6.37,6.37,2020-02-03 02:00:00
2020-02-04,1,2020,2.9,Low,30.6,15.6,23.1,74.0,3.18,20.04,6.01,6.01,2020-02-04 02:00:00
2020-02-05,1,2020,1.7,Low,29.8,16.9,23.3,73.0,3.45,21.0,6.33,6.33,2020-02-05 02:00:00
2020-02-06,1,2020,4.2,Low,28.1,16.7,22.4,68.0,3.85,21.4,6.4,6.4,2020-02-06 02:00:00
2020-02-07,1,2020,0.3,Low,28.3,16.3,22.3,73.0,3.74,21.73,6.45,6.45,2020-02-07 02:00:00
2020-02-08,1,2020,0.0,Low,28.9,16.8,22.9,73.0,3.11,22.66,6.76,6.76,2020-02-08 02:00:00
2020-02-09,1,2020,2.6,Low,28.2,17.6,22.9,73.0,2.7,22.31,6.65,6.65,2020-02-09 02:00:00
2020-02-10,1,2020,1.9,Low,26.8,15.7,21.3,73.0,3.15,22.4,6.52,6.52,2020-02-10 02:00:00
2020-02-11,1,2020,1.3,Low,27.1,17.4,22.3,72.0,3.12,20.87,6.18,6.18,2020-02-11 02:00:00
2020-02-12,1,2020,1.3,Low,26.9,17.1,22.0,70.0,3.47,23.46,6.92,6.92,2020-02-12 02:00:00
2020-02-13,1,2020,0.2,Low,27.5,16.5,22.0,73.0,2.63,22.34,6.56,6.56,2020-02-13 02:00:00
2020-02-14,1,2020,0.2,Low,28.0,15.7,21.8,66.0,2.88,20.69,6.11,6.11,2020-02-14 02:00:00
2020-02-15,1,2020,0.5,Low,28.3,16.1,22.2,71.0,2.84,21.82,6.45,6.45,2020-02-15 02:00:00
2020-02-16,1,2020,0.0,Low,26.6,15.9,21.3,72.0,3.06,22.6,6.57,6.57,2020-02-16 02:00:00
2020-02-17,1,2020,0.6,Low,27.8,15.5,21.7,72.0,3.53,21.64,6.36,6.36,2020-02-17 02:00:00
2020-02-18,1,2020,0.3,Low,29.0,15.5,22.2,71.0,3.28,22.73,6.73,6.73,2020-02-18 02:00:00
2020-02-19,1,2020,0.9,Low,30.6,15.9,23.2,71.0,2.93,23.1,6.93,6.93,2020-02-19 02:00:00
2020-02-20,1,2020,0.0,Low,27.6,17.0,22.3,72.0,3.11,21.39,6.34,6.34,2020-02-20 02:00:00
2020-02-21,1,2020,0.4,Low,28.7,15.8,22.3,69.0,3.18,22.81,6.76,6.76,2020-02-21 02:00:00
2020-02-22,1,2020,0.0,Low,29.1,16.6,22.8,71.0,2.52,18.5,5.53,5.53,2020-02-22 02:00:00
2020-02-23,1,2020,0.7,Low,27.8,16.5,22.1,73.0,3.06,22.62,6.67,6.67,2020-02-23 02:00:00
2020-02-24,1,2020,1.6,Low,27.4,16.4,21.9,72.0,3.17,19.99,5.89,5.89,2020-02-24 02:00:00
2020-02-25,1,2020,1.0,Low,29.3,15.9,22.6,70.0,3.39,22.62,6.75,6.75,2020-02-25 02:00:00
2020-02-26,1,2020,0.0,Low,27.6,16.6,22.1,65.0,2.76,21.99,6.51,6.51,2020-02-26 02:00:00
2020-02-27,1,2020,1.3,Low,29.9,15.3,22.6,68.0,2.75,21.59,6.43,6.43,2020-02-27 02:00:00
2020-02-28,1,2020,5.4,Low,30.3,16.6,23.4,71.0,2.84,21.85,6.58,6.58,2020-02-28 02:00:00
2020-02-29,1,2020,0.0,Low,27.8,16.0,21.9,72.0,2.81,22.04,6.48,6.48,2020-02-29 02:00:00
2020-03-01,1,2020,0.6,Low,28.9,16.2,22.5,68.0,2.97,22.22,6.62,6.62,2020-03-01 02:00:00
2020-03-02,1,2020,1.3,Low,29.8,16.5,23.1,72.0,3.87,20.07,6.06,6.06,2020-03-02 02:00:00
2020-03-03,1,2020,11.0,Low,30.4,16.0,23.2,71.0,2.89,19.45,5.86,5.86,2020-03-03 02:00:00
2020-03-04,1,2020,0.7,Low,27.5,16.9,22.2,74.0,3.15,21.94,6.48,6.48,2020-03-04 02:00:00
2020-03-05,1,2020,1.4,Low,28.8,16.2,22.5,71.0,2.89,19.74,5.88,5.88,2020-03-05 02:00:00
2020-03-06,1,2020,9.4,Low,28.8,16.4,22.6,74.0,3.87,21.69,6.46,6.46,2020-03-06 02:00:00
2020-03-07,1,2020,8.5,Low,30.5,15.9,23.2,71.0,2.19,20.8,6.23,6.23,2020-03-07 02:00:00
2020-03-08,1,2020,1.0,Low,27.1,15.9,21.5,72.0,2.78,23.99,6.98,6.98,2020-03-08 02:00:00
2020-03-09,1,2020,0.0,Low,28.6,16.3,22.5,67.0,3.75,20.73,6.21,6.21,2020-03-09 02:00:00
2020-03-10,1,2020,0.9,Low,29.2,16.4,22.8,63.0,2.43,20.65,6.19,6.19,2020-03-10 02:00:00
2020-03-11,1,2020,0.5,Low,29.6,15.1,22.3,72.0,3.01,23.28,6.88,6.88,2020-03-11 02:00:00
2020-03-12,1,2020,2.8,Low,29.4,16.2,22.8,74.0,3.53,20.58,6.15,6.15,2020-03-12 02:00:00
2020-03-13,1,2020,1.7,Low,29.3,16.3,22.8,72.0,2.84,21.82,6.5,6.5,2020-03-13 02:00:00
2020-03-14,1,2020,1.1,Low,28.9,16.1,22.5,74.0,2.26,23.38,6.9,6.9,2020-03-14 02:00:00
2020-03-15,1,2020,1.0,Low,28.8,16.8,22.8,70.0,2.77,22.64,6.75,6.75,2020-03-15 02:00:00
2020-03-16,1,2020,1.7,Low,28.4,16.1,22.3,67.0,2.43,19.86,5.89,5.89,2020-03-16 02:00:00
2020-03-17,1,2020,0.0,Low,28.2,17.0,22.6,71.0,3.39,20.92,6.24,6.24,2020-03-17 02:00:00
2020-03-18,1,2020,1.0,Low,31.0,14.6,22.8,65.0,3.08,22.86,6.85,6.85,2020-03-18 02:00:00
2020-03-19,1,2020,3.0,Low,29.8,16.4,23.1,70.0,3.0,21.94,6.58,6.58,2020-03-19 02:00:00
2020-03-20,1,2020,0.0,Low,31.8,16.6,24.2,70.0,3.31,23.07,7.04,7.04,2020-03-20 02:00:00
2020-03-21,1,2020,0.1,Low,30.2,17.1,23.6,68.0,2.63,20.29,6.15,6.15,2020-03-21 02:00:00
2020-03-22,1,2020,2.0,Low,30.6,16.4,23.5,68.0,2.87,22.01,6.65,6.65,2020-03-22 02:00:00
2020-03-23,1,2020,0.6,Low,30.1,17.0,23.5,66.0,3.46,23.74,7.19,7.19,2020-03-23 02:00:00
2020-03-24,1,2020,0.7,Low,30.0,16.9,23.4,67.0,2.95,21.7,6.56,6.56,2020-03-24 02:00:00
2020-03-25,1,2020,0.8,Low,29.3,16.6,22.9,64.0,2.74,21.09,6.34,6.34,2020-03-25 02:00:00
2020-03-26,1,2020,0.2,Low,29.2,16.5,22.8,66.0,3.02,22.02,6.61,6.61,2020-03-26 02:00:00
2020-03-27,1,2020,3.9,Low,29.2,16.9,23.0,71.0,3.05,20.33,6.11,6.11,2020-03-27 02:00:00
2020-03-28,1,2020,0.4,Low,31.4,16.0,23.7,68.0,3.35,22.7,6.89,6.89,2020-03-28 02:00:00
2020-03-29,1,2020,0.0,Low,27.8,17.5,22.6,73.0,2.69,23.55,6.98,6.98,2020-03-29 02:00:00
2020-03-30,1,2020,1.4,Low,29.3,15.3,22.3,65.0,3.32,20.08,6.0,6.0,2020-03-30 02:00:00
2020-03-31,1,2020,2.0,Low,27.3,16.5,21.9,64.0,3.04,21.93,6.49,6.49,2020-03-31 02:00:00
2020-04-01,1,2020,2.3,Low,29.8,16.3,23.1,70.0,2.95,22.54,6.75,6.75,2020-04-01 02:00:00
2020-04-02,1,2020,0.1,Low,30.0,16.8,23.4,70.0,3.62,22.49,6.8,6.8,2020-04-02 02:00:00
2020-04-03,1,2020,2.9,Low,29.2,17.0,23.1,69.0,3.13,21.65,6.51,6.51,2020-04-03 02:00:00
2020-04-04,1,2020,1.9,Low,29.6,17.0,23.3,77.0,3.26,21.03,6.3,6.3,2020-04-04 02:00:00
2020-04-05,1,2020,1.6,Low,28.6,16.4,22.5,67.0,3.04,20.3,6.06,6.06,2020-04-05 02:00:00
2020-04-06,1,2020,0.2,Low,29.3,16.0,22.6,68.0,3.32,21.95,6.56,6.56,2020-04-06 02:00:00
2020-04-07,1,2020,0.3,Low,28.7,17.1,22.9,70.0,3.03,21.6,6.47,6.47,2020-04-07 02:00:00
2020-04-08,1,2020,0.7,Low,28.8,16.5,22.6,69.0,2.21,21.6,6.42,6.42,2020-04-08 02:00:00
2020-04-09,1,2020,3.6,Low,27.5,16.1,21.8,66.0,3.2,21.95,6.48,6.48,2020-04-09 02:00:00
2020-04-10,1,2020,0.0,Low,29.4,17.7,23.6,71.0,3.38,21.95,6.64,6.64,2020-04-10 02:00:00
2020-04-11,1,2020,0.0,Low,30.3,19.3,24.8,71.0,2.91,22.44,6.89,6.89,2020-04-11 02:00:00
2020-04-12,1,2020,0.0,Low,27.9,16.3,22.1,68.0,2.87,22.61,6.68,6.68,2020-04-12 02:00:00
2020-04-13,1,2020,1.0,Low,28.0,17.2,22.6,66.0,2.94,20.71,6.2,6.2,2020-04-13 02:00:00
2020-04-14,1,2020,1.1,Low,29.0,16.3,22.6,70.0,2.49,19.66,5.86,5.86,2020-04-14 02:00:00
2020-04-15,1,2020,1.4,Low,28.8,15.8,22.3,64.0,3.15,21.3,6.36,6.36,2020-04-15 02:00:00
2020-04-16,1,2020,1.8,Low,31.2,16.8,24.0,70.0,3.32,22.3,6.79,6.79,2020-04-16 02:00:00
2020-04-17,1,2020,0.6,Low,31.3,16.2,23.8,72.0,2.95,20.96,6.35,6.35,2020-04-17 02:00:00
2020-04-18,1,2020,0.0,Low,30.2,17.2,23.7,66.0,3.13,22.54,6.85,6.85,2020-04-18 02:00:00
2020-04-19,1,2020,2.2,Low,30.5,15.4,22.9,71.0,2.87,21.58,6.45,6.45,2020-04-19 02:00:00
2020-04-20,1,2020,1.3,Low,30.3,16.3,23.3,68.0,3.28,21.09,6.38,6.38,2020-04-20 02:00:00
2020-04-21,1,2020,3.2,Low,30.4,17.5,24.0,68.0,2.52,23.76,7.2,7.2,2020-04-21 02:00:00
2020-04-22,1,2020,0.0,Low,29.6,17.1,23.3,68.0,2.59,22.21,6.68,6.68,2020-04-22 02:00:00
2020-04-23,1,2020,0.0,Low,28.5,17.3,22.9,68.0,2.58,20.99,6.29,6.29,2020-04-23 02:00:00
2020-04-24,1,2020,0.4,Low,28.5,16.9,22.7,66.0,2.44,21.07,6.29,6.29,2020-04-24 02:00:00
2020-04-25,1,2020,1.0,Low,29.3,16.4,22.8,74.0,3.59,21.57,6.44,6.44,2020-04-25 02:00:00
2020-04-26,1,2020,3.6,Low,28.6,16.6,22.6,71.0,3.54,23.66,7.05,7.05,2020-04-26 02:00:00
2020-04-27,1,2020,2.8,Low,32.1,17.4,24.8,63.0,3.03,23.54,7.27,7.27,2020-04-27 02:00:00
2020-04-28,1,2020,0.1,Low,29.7,17.3,23.5,69.0,3.88,23.07,6.99,6.99,2020-04-28 02:00:00
2020-04-29,1,2020,5.1,Low,28.9,15.9,22.4,67.0,3.19,20.66,6.17,6.17,2020-04-29 02:00:00
2020-04-30,1,2020,1.9,Low,29.1,16.0,22.5,65.0,4.06,20.36,6.14,6.14,2020-04-30 02:00:00
2020-05-01,1,2020,2.8,Low,28.9,15.9,22.4,64.0,2.24,21.95,6.52,6.52,2020-05-01 02:00:00
2020-05-02,1,2020,1.3,Moderate,32.2,16.9,24.5,69.0,2.95,22.51,6.9,6.9,2020-05-02 02:00:00
2020-05-03,1,2020,1.5,Moderate,29.4,17.0,23.2,67.0,3.83,23.43,7.08,7.08,2020-05-03 02:00:00
2020-05-04,1,2020,0.0,Moderate,28.8,17.4,23.1,69.0,3.0,19.64,5.92,5.92,2020-05-04 02:00:00
2020-05-05,1,2020,4.1,Moderate,30.3,17.6,24.0,67.0,3.15,22.34,6.81,6.81,2020-05-05 02:00:00
2020-05-06,1,2020,1.2,Moderate,27.9,17.0,22.5,67.0,2.79,20.38,6.07,6.07,2020-05-06 02:00:00
2020-05-07,1,2020,1.6,Moderate,30.4,16.7,23.5,73.0,2.27,19.91,5.99,5.99,2020-05-07 02:00:00
2020-05-08,1,2020,0.8,Moderate,30.7,15.8,23.2,73.0,3.66,22.76,6.84,6.84,2020-05-08 02:00:00
2020-05-09,1,2020,0.3,Moderate,31.1,18.1,24.6,66.0,2.8,23.14,7.11,7.11,2020-05-09 02:00:00
2020-05-10,1,2020,0.6,Moderate,29.0,16.4,22.7,72.0,3.1,21.85,6.51,6.51,2020-05-10 02:00:00
2020-05-11,1,2020,0.4,Moderate,28.3,18.2,23.2,64.0,3.31,21.44,6.5,6.5,2020-05-11 02:00:00
2020-05-12,1,2020,0.1,Moderate,27.2,16.7,22.0,70.0,3.53,22.53,6.66,6.66,2020-05-12 02:00:00
2020-05-13,1,2020,2.2,Moderate,30.5,17.3,23.9,69.0,3.14,23.03,7.0,7.0,2020-05-13 02:00:00
2020-05-14,1,2020,4.4,Moderate,29.2,15.9,22.5,63.0,2.58,22.02,6.57,6.57,2020-05-14 02:00:00
2020-05-15,1,2020,0.0,Moderate,30.5,17.7,24.1,70.0,3.19,23.94,7.28,7.28,2020-05-15 02:00:00
2020-05-16,1,2020,1.7,Moderate,30.8,17.5,24.1,65.0,2.2,23.09,7.02,7.02,2020-05-16 02:00:00
2020-05-17,1,2020,2.5,Moderate,31.8,15.4,23.6,70.0,2.96,22.99,6.94,6.94,2020-05-17 02:00:00
2020-05-18,1,2020,0.1,Moderate,30.2,16.5,23.3,62.0,2.53,22.07,6.67,6.67,2020-05-18 02:00:00
2020-05-19,1,2020,5.7,Moderate,31.0,16.9,24.0,65.0,2.79,21.09,6.43,6.43,2020-05-19 02:00:00
2020-05-20,1,2020,0.7,Moderate,30.1,16.3,23.2,72.0,2.75,23.79,7.12,7.12,2020-05-20 02:00:00
2020-05-21,1,2020,4.3,Moderate,29.8,14.9,22.4,62.0,3.01,23.19,6.91,6.91,2020-05-21 02:00:00
2020-05-22,1,2020,2.3,Moderate,30.1,16.3,23.2,64.0,3.81,24.27,7.34,7.34,2020-05-22 02:00:00
2020-05-23,1,2020,2.2,Moderate,28.5,16.7,22.6,67.0,2.41,22.87,6.8,6.8,2020-05-23 02:00:00
2020-05-24,1,2020,5.7,Moderate,28.9,17.7,23.3,72.0,2.62,22.09,6.63,6.63,2020-05-24 02:00:00
2020-05-25,1,2020,0.2,Moderate,30.4,16.9,23.7,65.0,3.15,22.72,6.91,6.91,2020-05-25 02:00:00
2020-05-26,1,2020,2.5,Moderate,29.1,15.7,22.4,70.0,3.04,21.38,6.35,6.35,2020-05-26 02:00:00
2020-05-27,1,2020,0.3,Moderate,30.3,17.3,23.8,64.0,3.08,21.43,6.53,6.53,2020-05-27 02:00:00
2020-05-28,1,2020,4.4,Moderate,27.0,16.2,21.6,75.0,2.99,21.27,6.21,6.21,2020-05-28 02:00:00
2020-05-29,1,2020,0.0,Moderate,30.3,16.4,23.3,62.0,2.6,23.16,6.99,6.99,2020-05-29 02:00:00
2020-05-30,1,2020,0.8,Moderate,29.8,17.5,23.6,64.0,2.24,22.77,6.88,6.88,2020-05-30 02:00:00
2020-05-31,1,2020,3.6,Moderate,30.4,16.4,23.4,64.0,2.86,21.65,6.55,6.55,2020-05-31 02:00:00
2020-06-01,1,2020,0.3,Moderate,31.2,18.0,24.6,66.0,3.45,22.13,6.82,6.82,2020-06-01 02:00:00
2020-06-02,1,2020,4.7,Moderate,28.3,16.7,22.5,65.0,1.48,22.52,6.66,6.66,2020-06-02 02:00:00
2020-06-03,1,2020,2.3,Moderate,30.2,16.2,23.2,68.0,2.85,21.77,6.55,6.55,2020-06-03 02:00:00
2020-06-04,1,2020,0.0,Moderate,29.3,17.8,23.5,64.0,2.8,23.64,7.15,7.15,2020-06-04 02:00:00
2020-06-05,1,2020,0.0,Moderate,30.0,15.5,22.7,74.0,3.16,23.47,6.98,6.98,2020-06-05 02:00:00
2020-06-06,1,2020,0.0,Moderate,29.7,18.4,24.0,66.0,2.6,23.31,7.08,7.08,2020-06-06 02:00:00
2020-06-07,1,2020,0.3,Moderate,32.0,16.7,24.3,70.0,2.71,24.24,7.38,7.38,2020-06-07 02:00:00
2020-06-08,1,2020,2.7,Moderate,32.4,15.8,24.1,68.0,3.15,23.79,7.24,7.24,2020-06-08 02:00:00
2020-06-09,1,2020,0.7,Moderate,30.4,16.9,23.7,66.0,3.18,22.51,6.83,6.83,2020-06-09 02:00:00
2020-06-10,1,2020,0.0,Moderate,30.9,18.6,24.8,67.0,3.09,22.41,6.9,6.9,2020-06-10 02:00:00
2020-06-11,1,2020,0.0,Moderate,31.0,14.7,22.8,69.0,3.47,21.53,6.46,6.46,2020-06-11 02:00:00
2020-06-12,1,2020,1.6,Moderate,31.0,15.8,23.4,71.0,2.69,21.92,6.59,6.59,2020-06-12 02:00:00
2020-06-13,1,2020,0.2,Moderate,29.2,15.8,22.5,67.0,3.4,22.01,6.57,6.57,2020-06-13 02:00:00
2020-06-14,1,2020,2.5,Moderate,30.5,16.0,23.3,65.0,3.31,21.96,6.64,6.64,2020-06-14 02:00:00
2020-06-15,1,2020,4.7,Moderate,31.4,16.2,23.8,61.0,3.6,24.31,7.43,7.43,2020-06-15 02:00:00
2020-06-16,1,2020,0.0,Moderate,30.6,16.1,23.4,71.0,3.11,22.7,6.83,6.83,2020-06-16 02:00:00
2020-06-17,1,2020,0.3,Moderate,30.1,17.5,23.8,70.0,3.24,21.85,6.64,6.64,2020-06-17 02:00:00
2020-06-18,1,2020,4.6,Moderate,29.7,15.7,22.7,69.0,2.96,22.69,6.76,6.76,2020-06-18 02:00:00
2020-06-19,1,2020,1.0,Moderate,31.3,16.4,23.8,68.0,2.94,21.78,6.61,6.61,2020-06-19 02:00:00
2020-06-20,1,2020,0.0,Moderate,30.1,16.7,23.4,67.0,2.9,19.36,5.87,5.87,2020-06-20 02:00:00
2020-06-21,1,2020,0.0,Moderate,30.4,17.3,23.9,67.0,2.93,22.08,6.72,6.72,2020-06-21 02:00:00
2020-06-22,1,2020,0.6,Moderate,32.3,15.2,23.8,64.0,3.58,22.73,6.94,6.94,2020-06-22 02:00:00
2020-06-23,1,2020,0.0,Moderate,31.1,18.0,24.5,68.0,2.81,21.83,6.69,6.69,2020-06-23 02:00:00
2020-06-24,1,2020,1.7,Moderate,30.8,18.4,24.6,63.0,2.33,21.23,6.53,6.53,2020-06-24 02:00:00
2020-06-25,1,2020,1.8,Moderate,30.0,17.3,23.7,64.0,2.63,23.07,6.99,6.99,2020-06-25 02:00:00
2020-06-26,1,2020,2.4,Moderate,30.2,16.8,23.5,67.0,3.38,23.25,7.03,7.03,2020-06-26 02:00:00
2020-06-27,1,2020,0.5,Moderate,31.2,17.7,24.5,66.0,3.82,22.36,6.9,6.9,2020-06-27 02:00:00
2020-06-28,1,2020,2.7,Moderate,31.5,16.6,24.0,70.0,3.58,23.44,7.13,7.13,2020-06-28 02:00:00
2020-06-29,1,2020,2.1,Moderate,30.7,17.4,24.1,67.0,2.83,20.99,6.41,6.41,2020-06-29 02:00:00
2020-06-30,1,2020,3.6,Moderate,32.3,16.8,24.5,65.0,2.97,21.21,6.53,6.53,2020-06-30 02:00:00
2020-07-01,1,2020,2.8,Moderate,29.0,16.5,22.8,70.0,2.91,24.84,7.4,7.4,2020-07-01 02:00:00
2020-07-02,1,2020,0.6,Moderate,30.7,16.1,23.4,68.0,3.08,21.19,6.41,6.41,2020-07-02 02:00:00
2020-07-03,1,2020,0.0,Moderate,31.2,16.6,23.9,65.0,3.14,22.9,6.98,6.98,2020-07-03 02:00:00
2020-07-04,1,2020,0.5,Moderate,32.3,17.8,25.0,64.0,3.32,21.06,6.55,6.55,2020-07-04 02:00:00
2020-07-05,1,2020,1.7,Moderate,31.5,17.4,24.4,71.0,2.84,21.82,6.67,6.67,2020-07-05 02:00:00
2020-07-06,1,2020,2.1,Moderate,29.9,16.9,23.4,67.0,3.02,24.15,7.28,7.28,2020-07-06 02:00:00
2020-07-07,1,2020,0.1,Moderate,30.8,16.1,23.4,64.0,2.9,22.01,6.67,6.67,2020-07-07 02:00:00
2020-07-08,1,2020,1.5,Moderate,30.5,15.6,23.1,63.0,3.12,23.33,7.03,7.03,2020-07-08 02:00:00
2020-07-09,1,2020,0.0,Moderate,29.1,17.4,23.3,63.0,2.96,23.28,7.03,7.03,2020-07-09 02:00:00
2020-07-10,1,2020,0.4,Moderate,31.1,16.7,23.9,64.0,2.94,23.36,7.11,7.11,2020-07-10 02:00:00
2020-07-11,1,2020,0.5,Moderate,29.3,17.8,23.6,67.0,3.29,23.41,7.09,7.09,2020-07-11 02:00:00
2020-07-12,1,2020,3.9,Moderate,31.0,18.9,25.0,69.0,3.17,21.51,6.65,6.65,2020-07-12 02:00:00
2020-07-13,1,2020,0.5,Moderate,31.1,17.7,24.4,63.0,3.35,22.5,6.93,6.93,2020-07-13 02:00:00
2020-07-14,1,2020,2.5,Moderate,30.6,17.5,24.0,62.0,2.67,22.28,6.81,6.81,2020-07-14 02:00:00
2020-07-15,1,2020,0.2,Moderate,29.2,17.2,23.2,68.0,2.97,22.29,6.71,6.71,2020-07-15 02:00:00
2020-07-16,1,2020,0.0,Moderate,30.7,16.0,23.4,66.0,2.92,21.97,6.64,6.64,2020-07-16 02:00:00
2020-07-17,1,2020,0.0,Moderate,30.9,17.5,24.2,71.0,2.91,23.76,7.23,7.23,2020-07-17 02:00:00
2020-07-18,1,2020,2.6,Moderate,29.9,16.8,23.4,69.0,3.0,23.86,7.18,7.18,2020-07-18 02:00:00
2020-07-19,1,2020,3.0,Moderate,30.9,16.2,23.5,63.0,2.8,23.99,7.26,7.26,2020-07-19 02:00:00
2020-07-20,1,2020,0.3,Moderate,30.8,16.9,23.9,68.0,3.7,24.82,7.55,7.55,2020-07-20 02:00:00
2020-07-21,1,2020,3.9,Moderate,31.4,16.2,23.8,68.0,3.73,22.27,6.79,6.79,2020-07-21 02:00:00
2020-07-22,1,2020,1.5,Moderate,33.0,17.0,25.0,63.0,3.04,25.03,7.74,7.74,2020-07-22 02:00:00
2020-07-23,1,2020,0.1,Moderate,29.7,19.3,24.5,64.0,3.05,24.78,7.61,7.61,2020-07-23 02:00:00
2020-07-24,1,2020,0.0,Moderate,30.2,16.4,23.3,64.0,3.08,24.27,7.32,7.32,2020-07-24 02:00:00
2020-07-25,1,2020,1.8,Moderate,31.6,17.4,24.5,61.0,2.91,25.42,7.8,7.8,2020-07-25 02:00:00
2020-07-26,1,2020,0.0,Moderate,30.8,17.8,24.3,66.0,2.89,23.86,7.29,7.29,2020-07-26 02:00:00
2020-07-27,1,2020,4.3,Moderate,30.8,18.2,24.5,63.0,1.99,22.5,6.88,6.88,2020-07-27 02:00:00
2020-07-28,1,2020,3.2,Moderate,31.3,16.8,24.0,60.0,3.28,23.48,7.2,7.2,2020-07-28 02:00:00
2020-07-29,1,2020,6.7,Moderate,31.6,18.1,24.9,65.0,2.61,23.47,7.23,7.23,2020-07-29 02:00:00
2020-07-30,1,2020,2.1,Moderate,30.9,16.5,23.7,64.0,2.78,23.54,7.14,7.14,2020-07-30 02:00:00
2020-07-31,1,2020,0.5,Moderate,29.7,17.4,23.6,73.0,3.15,22.92,6.91,6.91,2020-07-31 02:00:00
