time,region_id,year_id,crop_id,growth_stage,crop_coefficient_kc,crop_water_requirement_mmday,yield_reduction_factor,irrigation_id,irrigation_efficiency_percent,water_applied_mm,leaf_temperature_c,stomatal_conductance,updated_at
2020-06-25,1,2020,1,Flowering,0.9,6.29,0.736,1,76.0,2.2,30.4,0.352,2020-06-25 02:00:00
2020-06-26,1,2020,1,Flowering,0.88,6.19,0.742,1,68.0,2.17,32.3,0.358,2020-06-26 02:00:00
2020-06-27,1,2020,1,Flowering,0.96,6.62,0.777,1,76.0,2.32,33.0,0.368,2020-06-27 02:00:00
2020-06-28,1,2020,1,Flowering,0.87,6.21,0.781,1,73.0,2.17,33.4,0.329,2020-06-28 02:00:00
2020-06-29,1,2020,1,Flowering,0.92,5.9,0.789,1,74.0,2.06,31.5,0.341,2020-06-29 02:00:00
2020-06-30,1,2020,1,Flowering,0.92,6.01,0.778,1,76.0,2.1,34.5,0.37,2020-06-30 02:00:00
2020-07-01,1,2020,1,Flowering,0.92,6.8,0.78,1,64.0,2.38,30.9,0.36,2020-07-01 02:00:00
2020-07-02,1,2020,1,Grain Filling,0.89,5.7,0.81,1,74.0,2.0,32.3,0.329,2020-07-02 02:00:00
2020-07-03,1,2020,1,Grain Filling,0.91,6.35,0.852,1,72.0,2.22,32.9,0.328,2020-07-03 02:00:00
2020-07-04,1,2020,1,Grain Filling,0.92,6.03,0.885,1,71.0,2.11,35.1,0.325,2020-07-04 02:00:00
2020-07-05,1,2020,1,Grain Filling,0.88,5.87,0.9,1,71.0,2.05,34.3,0.342,2020-07-05 02:00:00
2020-07-06,1,2020,1,Grain Filling,0.84,6.12,0.912,1,71.0,2.14,30.3,0.299,2020-07-06 02:00:00
2020-07-07,1,2020,1,Grain Filling,0.86,5.73,0.878,1,76.0,6.83,33.1,0.333,2020-07-07 02:00:00
2020-07-08,1,2020,1,Grain Filling,0.95,6.68,0.853,1,80.0,5.4,31.7,0.341,2020-07-08 02:00:00
2020-07-09,1,2020,1,Grain Filling,0.9,6.32,0.893,1,71.0,2.21,29.3,0.354,2020-07-09 02:00:00
2020-07-10,1,2020,1,Grain Filling,0.88,6.26,0.917,1,72.0,2.19,32.9,0.324,2020-07-10 02:00:00
2020-07-11,1,2020,1,Grain Filling,0.93,6.59,0.917,1,79.0,2.31,30.2,0.313,2020-07-11 02:00:00
2020-07-12,1,2020,1,Grain Filling,0.93,6.18,0.901,1,76.0,2.16,33.2,0.296,2020-07-12 02:00:00
2020-07-13,1,2020,1,Grain Filling,0.98,6.8,0.917,1,76.0,2.38,33.0,0.333,2020-07-13 02:00:00
2020-07-14,1,2020,1,Grain Filling,0.91,6.2,0.917,1,70.0,2.17,32.1,0.324,2020-07-14 02:00:00
2020-07-15,1,2020,1,Grain Filling,0.92,6.17,0.884,1,72.0,6.75,31.2,0.34,2020-07-15 02:00:00
2020-07-16,1,2020,1,Grain Filling,0.91,6.04,0.917,1,72.0,2.11,33.2,0.319,2020-07-16 02:00:00
2020-07-17,1,2020,1,Grain Filling,0.89,6.43,0.917,1,78.0,2.25,33.2,0.32,2020-07-17 02:00:00
2020-07-18,1,2020,1,Grain Filling,0.93,6.68,0.917,1,75.0,2.34,32.3,0.338,2020-07-18 02:00:00
2020-07-19,1,2020,1,Grain Filling,0.94,6.82,0.916,1,74.0,2.39,31.7,0.326,2020-07-19 02:00:00
2020-07-20,1,2020,1,Grain Filling,0.95,7.17,0.917,1,71.0,2.51,32.9,0.343,2020-07-20 02:00:00
2020-07-21,1,2020,1,Grain Filling,0.9,6.11,0.902,1,78.0,2.14,32.9,0.347,2020-07-21 02:00:00
2020-07-22,1,2020,1,Grain Filling,0.9,6.96,0.861,1,78.0,6.74,34.3,0.313,2020-07-22 02:00:00
2020-07-23,1,2020,1,Grain Filling,0.92,7.0,0.904,1,73.0,2.45,31.4,0.336,2020-07-23 02:00:00
2020-07-24,1,2020,1,Grain Filling,0.9,6.59,0.917,1,80.0,2.31,30.9,0.321,2020-07-24 02:00:00
2020-07-25,1,2020,1,Grain Filling,0.91,7.1,0.917,1,70.0,2.48,33.7,0.328,2020-07-25 02:00:00
2020-07-26,1,2020,1,Grain Filling,0.94,6.85,0.917,1,77.0,2.4,31.8,0.302,2020-07-26 02:00:00
2020-07-27,1,2020,1,Grain Filling,0.89,6.12,0.895,1,74.0,2.14,32.6,0.317,2020-07-27 02:00:00
2020-07-28,1,2020,1,Grain Filling,0.91,6.55,0.893,1,82.0,2.29,33.6,0.347,2020-07-28 02:00:00
2020-07-29,1,2020,1,Grain Filling,0.95,6.87,0.745,1,74.0,8.64,34.3,0.342,2020-07-29 02:00:00
2020-07-30,1,2020,1,Grain Filling,0.89,6.35,0.756,1,76.0,2.22,33.1,0.367,2020-07-30 02:00:00
2020-07-31,1,2020,1,Grain Filling,0.92,6.35,0.79,1,76.0,2.22,31.8,0.32,2020-07-31 02:00:00
2020-08-01,1,2020,1,Grain Filling,0.93,6.37,0.826,1,75.0,2.23,33.4,0.302,2020-08-01 02:00:00
2020-08-02,1,2020,1,Grain Filling,0.89,6.06,0.857,1,73.0,2.12,31.7,0.314,2020-08-02 02:00:00
2020-08-03,1,2020,1,Grain Filling,1.01,6.99,0.844,1,73.0,2.45,31.4,0.354,2020-08-03 02:00:00
2020-08-04,1,2020,1,Grain Filling,0.95,6.74,0.886,1,73.0,2.36,32.0,0.329,2020-08-04 02:00:00
2020-08-05,1,2020,1,Grain Filling,0.92,6.04,0.917,1,73.0,2.11,32.3,0.33,2020-08-05 02:00:00
2020-08-06,1,2020,1,Grain Filling,0.91,6.41,0.917,1,74.0,2.24,33.5,0.345,2020-08-06 02:00:00
2020-08-07,1,2020,1,Grain Filling,0.98,6.55,0.917,1,74.0,2.29,35.4,0.318,2020-08-07 02:00:00
2020-08-08,1,2020,1,Grain Filling,0.94,6.68,0.872,1,76.0,2.34,32.0,0.356,2020-08-08 02:00:00
2020-08-09,1,2020,1,Grain Filling,0.96,7.32,0.893,1,72.0,2.56,32.3,0.288,2020-08-09 02:00:00
