time,region_id,year_id,precipitation_mm,evapotranspiration_mm,groundwater_depth_m,runoff_mm,river_flow_m3s,reservoir_storage_m3,irrigation_supply_available_m3,soil_water_deficit_index_mm,water_balance_percent,updated_at
2020-03-26,1,2020,0.2,6.6,5.3,1.2,8.86,953373.0,325631.0,6.41,2.91,2020-03-26 02:00:00
2020-03-27,1,2020,3.9,6.1,5.13,1.7,17.09,1056340.0,332350.0,2.24,63.28,2020-03-27 02:00:00
2020-03-28,1,2020,0.4,6.9,5.38,2.2,12.41,921578.0,279056.0,6.49,5.85,2020-03-28 02:00:00
2020-03-29,1,2020,0.0,7.0,5.16,0.0,9.91,859917.0,287287.0,6.96,0.21,2020-03-29 02:00:00
2020-03-30,1,2020,1.4,6.0,5.78,0.3,14.7,855507.0,298008.0,4.57,23.88,2020-03-30 02:00:00
2020-03-31,1,2020,2.0,6.5,5.17,0.0,15.35,756164.0,306987.0,4.5,30.66,2020-03-31 02:00:00
2020-04-01,1,2020,2.3,6.8,4.89,0.8,17.34,796836.0,310030.0,4.42,34.52,2020-04-01 02:00:00
2020-04-02,1,2020,0.1,6.8,4.89,1.0,13.94,705815.0,306288.0,6.66,2.05,2020-04-02 02:00:00
2020-04-03,1,2020,2.9,6.5,5.81,1.0,17.84,636887.0,340917.0,3.64,44.16,2020-04-03 02:00:00
2020-04-04,1,2020,1.9,6.3,5.19,0.5,13.77,645281.0,278222.0,4.42,29.92,2020-04-04 02:00:00
2020-04-05,1,2020,1.6,6.1,5.01,0.0,12.17,602120.0,324391.0,2.47,92.75,2020-04-05 02:00:00
2020-04-06,1,2020,0.2,6.6,5.12,0.0,10.89,473823.0,380318.0,6.38,2.79,2020-04-06 02:00:00
2020-04-07,1,2020,0.3,6.5,5.33,0.0,9.8,422389.0,340111.0,6.13,5.25,2020-04-07 02:00:00
2020-04-08,1,2020,0.7,6.4,5.59,0.3,6.67,406140.0,326466.0,5.72,10.87,2020-04-08 02:00:00
2020-04-09,1,2020,3.6,6.5,5.42,0.6,12.97,383779.0,325159.0,2.92,54.89,2020-04-09 02:00:00
2020-04-10,1,2020,0.0,6.6,5.36,1.1,9.7,228990.0,313682.0,6.64,0.0,2020-04-10 02:00:00
2020-04-11,1,2020,0.0,6.9,5.08,0.1,5.72,200497.0,325557.0,6.89,0.0,2020-04-11 02:00:00
2020-04-12,1,2020,0.0,6.7,4.94,0.2,13.34,109508.0,290240.0,6.68,0.0,2020-04-12 02:00:00
2020-04-13,1,2020,1.0,6.2,5.56,0.1,13.78,118990.0,287255.0,5.2,16.13,2020-04-13 02:00:00
2020-04-14,1,2020,1.1,5.9,5.8,0.0,10.95,80353.0,325646.0,4.75,18.85,2020-04-14 02:00:00
2020-04-15,1,2020,1.4,6.4,5.22,0.0,9.14,68027.0,336571.0,4.98,21.61,2020-04-15 02:00:00
2020-04-16,1,2020,1.8,6.8,5.52,0.0,13.82,0.0,329493.0,4.96,27.02,2020-04-16 02:00:00
2020-04-17,1,2020,0.6,6.3,5.63,0.6,14.7,0.0,317052.0,5.74,9.64,2020-04-17 02:00:00
2020-04-18,1,2020,0.0,6.8,5.62,0.5,7.38,0.0,334860.0,6.85,0.0,2020-04-18 02:00:00
2020-04-19,1,2020,2.2,6.5,5.54,0.0,12.27,0.0,336672.0,4.21,34.68,2020-04-19 02:00:00
2020-04-20,1,2020,1.3,6.4,5.0,1.6,11.73,0.0,328300.0,5.05,20.78,2020-04-20 02:00:00
2020-04-21,1,2020,3.2,7.2,5.97,0.0,12.82,0.0,330432.0,4.01,44.29,2020-04-21 02:00:00
2020-04-22,1,2020,0.0,6.7,5.51,0.0,12.88,0.0,345505.0,6.68,0.0,2020-04-22 02:00:00
2020-04-23,1,2020,0.0,6.3,5.52,0.0,8.93,0.0,347688.0,3.62,84.76,2020-04-23 02:00:00
2020-04-24,1,2020,0.4,6.3,5.08,1.2,14.69,0.0,359254.0,5.88,6.55,2020-04-24 02:00:00
2020-04-25,1,2020,1.0,6.4,5.8,0.3,11.0,0.0,366521.0,5.43,15.66,2020-04-25 02:00:00
2020-04-26,1,2020,3.6,7.0,5.59,1.6,20.35,0.0,335909.0,3.45,51.05,2020-04-26 02:00:00
2020-04-27,1,2020,2.8,7.3,5.14,2.7,19.82,0.0,361685.0,4.49,38.15,2020-04-27 02:00:00
2020-04-28,1,2020,0.1,7.0,5.56,0.2,9.51,0.0,369418.0,3.41,101.45,2020-04-28 02:00:00
2020-04-29,1,2020,5.1,6.2,5.82,1.6,23.25,0.0,389954.0,1.05,82.97,2020-04-29 02:00:00
2020-04-30,1,2020,1.9,6.1,5.58,0.0,17.23,0.0,326829.0,4.2,31.58,2020-04-30 02:00:00
2020-05-01,1,2020,2.8,6.5,5.13,1.0,19.72,0.0,380982.0,3.69,43.37,2020-05-01 02:00:00
2020-05-02,1,2020,1.3,6.9,5.92,0.9,7.09,0.0,383883.0,5.55,19.5,2020-05-02 02:00:00
2020-05-03,1,2020,1.5,7.1,5.07,0.5,9.43,0.0,393138.0,5.62,20.59,2020-05-03 02:00:00
2020-05-04,1,2020,0.0,5.9,5.84,0.6,9.97,0.0,385390.0,5.92,0.0,2020-05-04 02:00:00
2020-05-05,1,2020,4.1,6.8,5.68,1.2,18.39,0.0,340130.0,2.7,60.36,2020-05-05 02:00:00
2020-05-06,1,2020,1.2,6.1,5.62,0.0,11.73,0.0,410845.0,2.91,84.15,2020-05-06 02:00:00
2020-05-07,1,2020,1.6,6.0,5.97,0.0,16.97,0.0,390745.0,3.37,60.8,2020-05-07 02:00:00
2020-05-08,1,2020,0.8,6.8,5.79,0.0,11.31,0.0,399892.0,6.09,11.0,2020-05-08 02:00:00
2020-05-09,1,2020,0.3,7.1,5.52,0.5,3.67,0.0,430523.0,6.85,3.61,2020-05-09 02:00:00
2020-05-10,1,2020,0.6,6.5,5.14,0.8,15.87,0.0,429860.0,5.9,9.43,2020-05-10 02:00:00
2020-05-11,1,2020,0.4,6.5,4.9,0.6,13.53,0.0,453442.0,2.65,111.77,2020-05-11 02:00:00
2020-05-12,1,2020,0.1,6.7,5.48,0.0,7.45,0.0,436722.0,6.55,1.58,2020-05-12 02:00:00
2020-05-13,1,2020,2.2,7.0,5.56,1.3,24.3,0.0,462239.0,4.78,31.71,2020-05-13 02:00:00
2020-05-14,1,2020,4.4,6.6,5.98,0.9,24.33,0.0,460560.0,2.17,66.95,2020-05-14 02:00:00
2020-05-15,1,2020,0.0,7.3,5.26,0.4,12.15,0.0,464422.0,7.28,0.0,2020-05-15 02:00:00
2020-05-16,1,2020,1.7,7.0,5.52,1.2,21.64,0.0,498611.0,1.91,121.0,2020-05-16 02:00:00
2020-05-17,1,2020,2.5,6.9,5.0,0.7,12.73,0.0,503935.0,0.38,152.31,2020-05-17 02:00:00
2020-05-18,1,2020,0.1,6.7,5.78,0.2,9.49,0.0,485960.0,6.56,1.58,2020-05-18 02:00:00
2020-05-19,1,2020,5.7,6.4,5.77,1.8,19.0,0.0,531793.0,0.72,88.81,2020-05-19 02:00:00
2020-05-20,1,2020,0.7,7.1,5.36,0.0,11.22,0.0,538079.0,6.39,10.16,2020-05-20 02:00:00
2020-05-21,1,2020,4.3,6.9,5.37,1.6,16.18,0.0,564758.0,-0.69,158.26,2020-05-21 02:00:00
2020-05-22,1,2020,2.3,7.3,5.62,0.1,15.56,0.0,571476.0,1.06,139.28,2020-05-22 02:00:00
2020-05-23,1,2020,2.2,6.8,5.54,0.4,23.18,0.0,580833.0,4.56,32.88,2020-05-23 02:00:00
2020-05-24,1,2020,5.7,6.6,5.7,1.2,22.39,0.0,579225.0,0.9,86.42,2020-05-24 02:00:00
2020-05-25,1,2020,0.2,6.9,5.43,0.4,9.79,0.0,616078.0,6.71,2.85,2020-05-25 02:00:00
2020-05-26,1,2020,2.5,6.4,5.43,0.1,15.5,0.0,600597.0,3.82,39.92,2020-05-26 02:00:00
2020-05-27,1,2020,0.3,6.5,5.22,0.0,9.35,0.0,597102.0,6.2,5.19,2020-05-27 02:00:00
2020-05-28,1,2020,4.4,6.2,5.47,0.0,17.64,0.0,595602.0,1.84,70.4,2020-05-28 02:00:00
2020-05-29,1,2020,0.0,7.0,5.94,0.0,14.55,0.0,606033.0,6.99,0.0,2020-05-29 02:00:00
2020-05-30,1,2020,0.8,6.9,5.02,0.0,16.95,0.0,594144.0,6.03,12.32,2020-05-30 02:00:00
2020-05-31,1,2020,3.6,6.6,5.53,1.4,19.05,0.0,603022.0,2.91,55.63,2020-05-31 02:00:00
2020-06-01,1,2020,0.3,6.8,5.62,0.0,12.18,0.0,631974.0,1.7,145.34,2020-06-01 02:00:00
2020-06-02,1,2020,4.7,6.7,5.11,0.3,21.27,0.0,653412.0,1.97,70.4,2020-06-02 02:00:00
2020-06-03,1,2020,2.3,6.5,5.62,0.0,13.93,0.0,698331.0,1.9,106.17,2020-06-03 02:00:00
2020-06-04,1,2020,0.0,7.2,5.55,0.7,10.13,0.0,719650.0,2.55,128.74,2020-06-04 02:00:00
2020-06-05,1,2020,0.0,7.0,5.68,0.3,7.67,0.0,763422.0,2.78,120.17,2020-06-05 02:00:00
2020-06-06,1,2020,0.0,7.1,5.77,0.0,0.83,0.0,731483.0,7.08,0.0,2020-06-06 02:00:00
2020-06-07,1,2020,0.3,7.4,5.64,0.1,9.41,0.0,781933.0,7.03,4.73,2020-06-07 02:00:00
2020-06-08,1,2020,2.7,7.2,5.43,0.2,16.14,0.0,769885.0,4.51,37.82,2020-06-08 02:00:00
2020-06-09,1,2020,0.7,6.8,4.85,0.0,10.28,0.0,762193.0,6.17,9.74,2020-06-09 02:00:00
2020-06-10,1,2020,0.0,6.9,5.2,0.0,12.14,0.0,751635.0,6.9,0.0,2020-06-10 02:00:00
2020-06-11,1,2020,0.0,6.5,4.92,1.1,10.62,0.0,748821.0,6.46,0.0,2020-06-11 02:00:00
2020-06-12,1,2020,1.6,6.6,5.07,0.2,12.75,0.0,799709.0,5.02,23.88,2020-06-12 02:00:00
2020-06-13,1,2020,0.2,6.6,5.82,0.0,9.36,0.0,776496.0,6.38,3.02,2020-06-13 02:00:00
2020-06-14,1,2020,2.5,6.6,5.85,0.0,18.86,0.0,733626.0,4.12,37.96,2020-06-14 02:00:00
2020-06-15,1,2020,4.7,7.4,5.87,1.2,19.24,0.0,770229.0,2.72,63.31,2020-06-15 02:00:00
2020-06-16,1,2020,0.0,6.8,5.75,0.0,2.9,0.0,708496.0,6.83,0.0,2020-06-16 02:00:00
2020-06-17,1,2020,0.3,6.6,5.5,1.1,11.06,0.0,732298.0,6.37,4.07,2020-06-17 02:00:00
2020-06-18,1,2020,4.6,6.8,5.66,0.0,16.31,0.0,715842.0,2.11,68.75,2020-06-18 02:00:00
2020-06-19,1,2020,1.0,6.6,5.35,0.0,12.91,0.0,744254.0,5.64,14.7,2020-06-19 02:00:00
2020-06-20,1,2020,0.0,5.9,5.47,0.5,10.41,0.0,798879.0,5.87,0.0,2020-06-20 02:00:00
2020-06-21,1,2020,0.0,6.7,4.87,0.0,8.06,0.0,759644.0,6.72,0.0,2020-06-21 02:00:00
2020-06-22,1,2020,0.6,6.9,5.8,0.0,16.66,0.0,773825.0,6.34,8.62,2020-06-22 02:00:00
2020-06-23,1,2020,0.0,6.7,6.32,1.2,7.17,0.0,745652.0,6.69,0.0,2020-06-23 02:00:00
2020-06-24,1,2020,1.7,6.5,5.25,0.0,9.91,0.0,730910.0,4.82,26.09,2020-06-24 02:00:00
2020-06-25,1,2020,1.8,7.0,5.41,2.0,12.39,0.0,781997.0,5.16,26.16,2020-06-25 02:00:00
2020-06-26,1,2020,2.4,7.0,5.67,1.1,18.15,0.0,741232.0,4.62,34.37,2020-06-26 02:00:00
2020-06-27,1,2020,0.5,6.9,5.36,0.6,18.04,0.0,782176.0,6.43,6.72,2020-06-27 02:00:00
2020-06-28,1,2020,2.7,7.1,6.01,0.0,17.76,0.0,789859.0,4.44,37.79,2020-06-28 02:00:00
2020-06-29,1,2020,2.1,6.4,5.86,0.7,16.66,0.0,745660.0,4.28,33.16,2020-06-29 02:00:00
2020-06-30,1,2020,3.6,6.5,5.12,0.9,21.52,0.0,735646.0,2.94,55.03,2020-06-30 02:00:00
2020-07-01,1,2020,2.8,7.4,5.94,0.4,16.83,0.0,699494.0,4.61,37.64,2020-07-01 02:00:00
2020-07-02,1,2020,0.6,6.4,6.28,0.0,10.41,0.0,783847.0,5.76,10.07,2020-07-02 02:00:00
2020-07-03,1,2020,0.0,7.0,5.4,1.3,9.87,0.0,756799.0,6.98,0.0,2020-07-03 02:00:00
2020-07-04,1,2020,0.5,6.6,5.88,0.7,14.56,0.0,768820.0,6.01,8.37,2020-07-04 02:00:00
2020-07-05,1,2020,1.7,6.7,5.36,1.6,13.24,0.0,775877.0,4.93,26.02,2020-07-05 02:00:00
2020-07-06,1,2020,2.1,7.3,6.32,0.9,21.71,0.0,780776.0,5.18,28.87,2020-07-06 02:00:00
2020-07-07,1,2020,0.1,6.7,5.18,0.3,9.39,0.0,791326.0,4.15,74.0,2020-07-07 02:00:00
2020-07-08,1,2020,1.5,7.0,5.45,0.0,12.05,0.0,810581.0,4.01,64.7,2020-07-08 02:00:00
2020-07-09,1,2020,0.0,7.0,5.87,1.2,11.17,0.0,831185.0,7.03,0.0,2020-07-09 02:00:00
2020-07-10,1,2020,0.4,7.1,6.23,0.0,10.0,0.0,800203.0,6.67,6.25,2020-07-10 02:00:00
2020-07-11,1,2020,0.5,7.1,5.58,0.0,15.26,0.0,813323.0,6.6,6.94,2020-07-11 02:00:00
2020-07-12,1,2020,3.9,6.6,5.69,0.3,23.52,0.0,764746.0,2.79,57.99,2020-07-12 02:00:00
2020-07-13,1,2020,0.5,6.9,5.45,0.0,11.25,0.0,811128.0,6.41,7.51,2020-07-13 02:00:00
2020-07-14,1,2020,2.5,6.8,5.87,0.0,17.47,0.0,785888.0,4.35,36.06,2020-07-14 02:00:00
2020-07-15,1,2020,0.2,6.7,5.2,0.2,10.47,0.0,827294.0,4.18,71.88,2020-07-15 02:00:00
2020-07-16,1,2020,0.0,6.6,6.14,0.8,4.31,0.0,818328.0,6.64,0.0,2020-07-16 02:00:00
2020-07-17,1,2020,0.0,7.2,6.86,0.0,11.11,0.0,839521.0,7.23,0.0,2020-07-17 02:00:00
2020-07-18,1,2020,2.6,7.2,5.64,0.4,21.84,0.0,849069.0,4.54,36.8,2020-07-18 02:00:00
2020-07-19,1,2020,3.0,7.3,5.71,0.9,14.19,0.0,845571.0,4.22,41.9,2020-07-19 02:00:00
2020-07-20,1,2020,0.3,7.5,5.98,0.2,17.87,0.0,799652.0,7.24,4.01,2020-07-20 02:00:00
2020-07-21,1,2020,3.9,6.8,5.43,0.0,19.15,0.0,841525.0,2.9,57.33,2020-07-21 02:00:00
2020-07-22,1,2020,1.5,7.7,5.65,0.0,11.11,0.0,837465.0,4.04,75.62,2020-07-22 02:00:00
2020-07-23,1,2020,0.1,7.6,6.03,0.8,9.96,0.0,836716.0,7.55,0.69,2020-07-23 02:00:00
2020-07-24,1,2020,0.0,7.3,6.07,0.3,9.63,0.0,846319.0,7.32,0.0,2020-07-24 02:00:00
2020-07-25,1,2020,1.8,7.8,5.65,0.0,17.66,0.0,878106.0,5.97,23.53,2020-07-25 02:00:00
2020-07-26,1,2020,0.0,7.3,5.99,0.3,9.46,0.0,870184.0,7.29,0.0,2020-07-26 02:00:00
2020-07-27,1,2020,4.3,6.9,5.69,0.8,23.72,0.0,868965.0,2.55,62.93,2020-07-27 02:00:00
2020-07-28,1,2020,3.2,7.2,5.58,0.0,19.28,0.0,849243.0,4.04,43.91,2020-07-28 02:00:00
2020-07-29,1,2020,6.7,7.2,5.87,1.7,27.03,0.0,920332.0,-2.64,179.64,2020-07-29 02:00:00
2020-07-30,1,2020,2.1,7.1,5.84,0.3,9.94,0.0,885362.0,4.99,30.01,2020-07-30 02:00:00
2020-07-31,1,2020,0.5,6.9,5.63,2.0,6.88,0.0,895090.0,6.43,6.93,2020-07-31 02:00:00
2020-08-01,1,2020,0.4,6.9,5.71,0.0,14.27,0.0,856518.0,6.47,5.59,2020-08-01 02:00:00
2020-08-02,1,2020,0.6,6.8,5.79,0.7,7.4,0.0,871938.0,6.23,8.63,2020-08-02 02:00:00
2020-08-03,1,2020,3.8,6.9,5.33,0.5,21.42,0.0,866072.0,3.14,54.6,2020-08-03 02:00:00
2020-08-04,1,2020,0.0,7.1,5.76,0.1,6.85,0.0,892558.0,7.09,0.0,2020-08-04 02:00:00
2020-08-05,1,2020,0.6,6.6,5.96,0.6,13.66,0.0,889534.0,5.94,9.46,2020-08-05 02:00:00
2020-08-06,1,2020,0.0,7.0,5.41,0.0,11.77,0.0,875422.0,7.04,0.0,2020-08-06 02:00:00
2020-08-07,1,2020,0.0,6.7,5.21,0.6,10.68,0.0,885727.0,6.68,0.0,2020-08-07 02:00:00
