time,region_id,year_id,wind_speed_kmh,wind_gust_kmh,wind_direction,rainfall_mm,rainfall_delta_percent,ph_level,npk_index,temperature_c,humidity_percent,updated_at
2020-02-08,1,2020,11.2,28.3,W,0.0,-100.0,7.2,Low,22.9,73.0,2020-02-08 02:00:00
2020-02-09,1,2020,9.7,25.7,SE,2.6,0.0,7.2,Low,22.9,73.0,2020-02-09 02:00:00
2020-02-10,1,2020,11.3,20.8,SE,1.9,-28.0,7.3,Medium,21.3,73.0,2020-02-10 02:00:00
2020-02-11,1,2020,11.2,28.3,W,1.3,-31.0,7.3,Medium,22.3,72.0,2020-02-11 02:00:00
2020-02-12,1,2020,12.5,28.8,W,1.3,-5.0,7.2,Medium,22.0,70.0,2020-02-12 02:00:00
2020-02-13,1,2020,9.5,21.6,NW,0.2,-82.0,7.0,Medium,22.0,73.0,2020-02-13 02:00:00
2020-02-14,1,2020,10.4,16.5,SE,0.2,-4.0,7.1,Low,21.8,66.0,2020-02-14 02:00:00
2020-02-15,1,2020,10.2,25.9,NE,0.5,146.0,7.2,Low,22.2,71.0,2020-02-15 02:00:00
2020-02-16,1,2020,11.0,17.8,NW,0.0,-100.0,7.0,Low,21.3,72.0,2020-02-16 02:00:00
2020-02-17,1,2020,12.7,29.9,W,0.6,0.0,7.2,Low,21.7,72.0,2020-02-17 02:00:00
2020-02-18,1,2020,11.8,18.2,E,0.3,-53.0,7.1,Low,22.2,71.0,2020-02-18 02:00:00
2020-02-19,1,2020,10.5,20.7,SW,0.9,205.0,7.0,Low,23.2,71.0,2020-02-19 02:00:00
2020-02-20,1,2020,11.2,21.4,S,0.0,-97.0,7.0,Low,22.3,72.0,2020-02-20 02:00:00
2020-02-21,1,2020,11.4,21.4,W,0.4,1419.0,7.1,Low,22.3,69.0,2020-02-21 02:00:00
2020-02-22,1,2020,9.1,21.4,SW,0.0,-100.0,7.2,Low,22.8,71.0,2020-02-22 02:00:00
2020-02-23,1,2020,11.0,21.7,W,0.7,0.0,7.2,Low,22.1,73.0,2020-02-23 02:00:00
2020-02-24,1,2020,11.4,24.6,NE,1.6,138.0,7.1,Low,21.9,72.0,2020-02-24 02:00:00
2020-02-25,1,2020,12.2,28.3,SE,1.0,-36.0,7.1,Low,22.6,70.0,2020-02-25 02:00:00
2020-02-26,1,2020,9.9,18.4,S,0.0,-99.0,7.1,Low,22.1,65.0,2020-02-26 02:00:00
2020-02-27,1,2020,9.9,15.8,W,1.3,9381.0,7.2,Low,22.6,68.0,2020-02-27 02:00:00
2020-02-28,1,2020,10.2,26.2,W,5.4,319.0,7.2,Low,23.4,71.0,2020-02-28 02:00:00
2020-02-29,1,2020,10.1,18.8,S,0.0,-100.0,7.2,Low,21.9,72.0,2020-02-29 02:00:00
2020-03-01,1,2020,10.7,28.0,N,0.6,0.0,7.2,Low,22.5,68.0,2020-03-01 02:00:00
2020-03-02,1,2020,13.9,30.8,SE,1.3,134.0,7.0,Low,23.1,72.0,2020-03-02 02:00:00
2020-03-03,1,2020,10.4,21.3,S,11.0,730.0,7.2,Low,23.2,71.0,2020-03-03 02:00:00
2020-03-04,1,2020,11.3,23.2,NW,0.7,-94.0,7.2,Low,22.2,74.0,2020-03-04 02:00:00
2020-03-05,1,2020,10.4,23.8,NE,1.4,115.0,7.1,Low,22.5,71.0,2020-03-05 02:00:00
2020-03-06,1,2020,13.9,30.5,N,9.4,568.0,7.3,Medium,22.6,74.0,2020-03-06 02:00:00
2020-03-07,1,2020,7.9,21.3,N,8.5,-10.0,7.2,Medium,23.2,71.0,2020-03-07 02:00:00
2020-03-08,1,2020,10.0,20.9,NE,1.0,-88.0,7.1,Medium,21.5,72.0,2020-03-08 02:00:00
2020-03-09,1,2020,13.5,21.2,E,0.0,-100.0,7.0,Medium,22.5,67.0,2020-03-09 02:00:00
2020-03-10,1,2020,8.7,25.4,NW,0.9,0.0,7.1,Medium,22.8,63.0,2020-03-10 02:00:00
2020-03-11,1,2020,10.8,17.9,E,0.5,-42.0,7.1,Medium,22.3,72.0,2020-03-11 02:00:00
2020-03-12,1,2020,12.7,27.9,NW,2.8,435.0,7.1,Medium,22.8,74.0,2020-03-12 02:00:00
2020-03-13,1,2020,10.2,20.8,N,1.7,-38.0,7.4,Low,22.8,72.0,2020-03-13 02:00:00
2020-03-14,1,2020,8.1,19.1,E,1.1,-39.0,7.0,Low,22.5,74.0,2020-03-14 02:00:00
2020-03-15,1,2020,10.0,28.0,NW,1.0,-6.0,7.2,Low,22.8,70.0,2020-03-15 02:00:00
2020-03-16,1,2020,8.7,17.9,W,1.7,73.0,7.1,Low,22.3,67.0,2020-03-16 02:00:00
2020-03-17,1,2020,12.2,25.3,S,0.0,-100.0,7.1,Low,22.6,71.0,2020-03-17 02:00:00
2020-03-18,1,2020,11.1,22.3,NE,1.0,0.0,7.0,Low,22.8,65.0,2020-03-18 02:00:00
2020-03-19,1,2020,10.8,18.9,S,3.0,203.0,7.0,Low,23.1,70.0,2020-03-19 02:00:00
2020-03-20,1,2020,11.9,22.8,S,0.0,-100.0,6.9,Low,24.2,70.0,2020-03-20 02:00:00
2020-03-21,1,2020,9.5,15.4,SW,0.1,0.0,7.3,Low,23.6,68.0,2020-03-21 02:00:00
2020-03-22,1,2020,10.3,17.0,N,2.0,2428.0,7.1,Low,23.5,68.0,2020-03-22 02:00:00
2020-03-23,1,2020,12.4,24.2,W,0.6,-69.0,7.0,Low,23.5,66.0,2020-03-23 02:00:00
2020-03-24,1,2020,10.6,27.3,S,0.7,7.0,7.1,Low,23.4,67.0,2020-03-24 02:00:00
2020-03-25,1,2020,9.9,16.1,W,0.8,29.0,7.1,Low,22.9,64.0,2020-03-25 02:00:00
2020-03-26,1,2020,10.9,23.3,SE,0.2,-77.0,7.2,Low,22.8,66.0,2020-03-26 02:00:00
2020-03-27,1,2020,11.0,26.2,NE,3.9,1912.0,7.0,Low,23.0,71.0,2020-03-27 02:00:00
2020-03-28,1,2020,12.1,18.0,E,0.4,-90.0,6.9,Low,23.7,68.0,2020-03-28 02:00:00
2020-03-29,1,2020,9.7,24.0,NE,0.0,-96.0,7.1,Low,22.6,73.0,2020-03-29 02:00:00
2020-03-30,1,2020,12.0,23.8,SE,1.4,9543.0,7.3,Low,22.3,65.0,2020-03-30 02:00:00
2020-03-31,1,2020,10.9,19.9,N,2.0,39.0,7.2,Low,21.9,64.0,2020-03-31 02:00:00
2020-04-01,1,2020,10.6,28.0,SW,2.3,17.0,7.2,Low,23.1,70.0,2020-04-01 02:00:00
2020-04-02,1,2020,13.0,27.8,S,0.1,-94.0,7.1,Low,23.4,70.0,2020-04-02 02:00:00
2020-04-03,1,2020,11.3,23.0,SE,2.9,1966.0,7.2,Low,23.1,69.0,2020-04-03 02:00:00
2020-04-04,1,2020,11.7,18.6,W,1.9,-34.0,7.4,Low,23.3,77.0,2020-04-04 02:00:00
2020-04-05,1,2020,10.9,17.4,S,1.6,-17.0,7.0,Low,22.5,67.0,2020-04-05 02:00:00
2020-04-06,1,2020,12.0,25.2,SW,0.2,-88.0,7.1,Low,22.6,68.0,2020-04-06 02:00:00
2020-04-07,1,2020,10.9,19.4,S,0.3,85.0,6.9,Low,22.9,70.0,2020-04-07 02:00:00
2020-04-08,1,2020,8.0,18.2,SE,0.7,105.0,7.2,Low,22.6,69.0,2020-04-08 02:00:00
2020-04-09,1,2020,11.5,25.9,SE,3.6,410.0,7.1,Low,21.8,66.0,2020-04-09 02:00:00
2020-04-10,1,2020,12.2,20.2,N,0.0,-100.0,7.0,Low,23.6,71.0,2020-04-10 02:00:00
2020-04-11,1,2020,10.5,16.9,NE,0.0,0.0,6.9,Low,24.8,71.0,2020-04-11 02:00:00
2020-04-12,1,2020,10.3,18.1,SW,0.0,0.0,7.1,Low,22.1,68.0,2020-04-12 02:00:00
2020-04-13,1,2020,10.6,24.5,S,1.0,0.0,7.1,Low,22.6,66.0,2020-04-13 02:00:00
2020-04-14,1,2020,9.0,18.0,E,1.1,10.0,7.0,Low,22.6,70.0,2020-04-14 02:00:00
2020-04-15,1,2020,11.3,16.4,E,1.4,24.0,7.0,Low,22.3,64.0,2020-04-15 02:00:00
2020-04-16,1,2020,11.9,24.2,N,1.8,34.0,7.2,Low,24.0,70.0,2020-04-16 02:00:00
2020-04-17,1,2020,10.6,19.8,N,0.6,-67.0,7.2,Low,23.8,72.0,2020-04-17 02:00:00
2020-04-18,1,2020,11.3,26.7,NW,0.0,-100.0,7.2,Low,23.7,66.0,2020-04-18 02:00:00
2020-04-19,1,2020,10.3,17.4,SE,2.2,0.0,7.0,Low,22.9,71.0,2020-04-19 02:00:00
2020-04-20,1,2020,11.8,20.2,E,1.3,-41.0,7.0,Low,23.3,68.0,2020-04-20 02:00:00
2020-04-21,1,2020,9.1,17.8,NW,3.2,141.0,7.1,Low,24.0,68.0,2020-04-21 02:00:00
2020-04-22,1,2020,9.3,18.2,SW,0.0,-100.0,7.0,Low,23.3,68.0,2020-04-22 02:00:00
2020-04-23,1,2020,9.3,22.4,NW,0.0,0.0,7.1,Low,22.9,68.0,2020-04-23 02:00:00
2020-04-24,1,2020,8.8,16.9,N,0.4,0.0,7.0,Low,22.7,66.0,2020-04-24 02:00:00
2020-04-25,1,2020,12.9,18.4,W,1.0,145.0,7.0,Low,22.8,74.0,2020-04-25 02:00:00
2020-04-26,1,2020,12.8,27.4,S,3.6,257.0,7.0,Low,22.6,71.0,2020-04-26 02:00:00
2020-04-27,1,2020,10.9,27.6,N,2.8,-23.0,7.1,Low,24.8,63.0,2020-04-27 02:00:00
2020-04-28,1,2020,14.0,21.7,NW,0.1,-97.0,7.0,Low,23.5,69.0,2020-04-28 02:00:00
2020-04-29,1,2020,11.5,22.1,N,5.1,6719.0,7.2,Low,22.4,67.0,2020-04-29 02:00:00
2020-04-30,1,2020,14.6,23.2,NE,1.9,-62.0,7.0,Low,22.5,65.0,2020-04-30 02:00:00
2020-05-01,1,2020,8.1,16.9,W,2.8,46.0,7.1,Low,22.4,64.0,2020-05-01 02:00:00
2020-05-02,1,2020,10.6,25.2,NE,1.3,-52.0,7.0,Low,24.5,69.0,2020-05-02 02:00:00
2020-05-03,1,2020,13.8,26.9,NE,1.5,8.0,7.0,Low,23.2,67.0,2020-05-03 02:00:00
2020-05-04,1,2020,10.8,24.5,E,0.0,-100.0,7.1,Low,23.1,69.0,2020-05-04 02:00:00
2020-05-05,1,2020,11.4,27.9,W,4.1,0.0,7.1,Low,24.0,67.0,2020-05-05 02:00:00
2020-05-06,1,2020,10.0,15.4,NW,1.2,-70.0,7.2,Low,22.5,67.0,2020-05-06 02:00:00
2020-05-07,1,2020,8.2,24.7,NW,1.6,31.0,7.2,Low,23.5,73.0,2020-05-07 02:00:00
2020-05-08,1,2020,13.2,25.0,W,0.8,-53.0,7.0,Low,23.2,73.0,2020-05-08 02:00:00
2020-05-09,1,2020,10.1,20.4,NE,0.3,-66.0,7.2,Low,24.6,66.0,2020-05-09 02:00:00
2020-05-10,1,2020,11.2,18.4,NE,0.6,139.0,7.0,Low,22.7,72.0,2020-05-10 02:00:00
2020-05-11,1,2020,11.9,24.9,W,0.4,-29.0,7.0,Low,23.2,64.0,2020-05-11 02:00:00
2020-05-12,1,2020,12.7,22.7,NW,0.1,-76.0,7.0,Low,22.0,70.0,2020-05-12 02:00:00
2020-05-13,1,2020,11.3,19.9,N,2.2,2013.0,7.2,Low,23.9,69.0,2020-05-13 02:00:00
2020-05-14,1,2020,9.3,14.9,SE,4.4,98.0,7.0,Low,22.5,63.0,2020-05-14 02:00:00
2020-05-15,1,2020,11.5,25.8,N,0.0,-100.0,7.0,Low,24.1,70.0,2020-05-15 02:00:00
2020-05-16,1,2020,7.9,21.1,NW,1.7,0.0,7.1,Low,24.1,65.0,2020-05-16 02:00:00
2020-05-17,1,2020,10.6,27.2,SE,2.5,47.0,6.9,Low,23.6,70.0,2020-05-17 02:00:00
2020-05-18,1,2020,9.1,20.0,NW,0.1,-96.0,7.1,Low,23.3,62.0,2020-05-18 02:00:00
2020-05-19,1,2020,10.1,18.3,SW,5.7,5328.0,7.1,Low,24.0,65.0,2020-05-19 02:00:00
2020-05-20,1,2020,9.9,23.1,S,0.7,-87.0,7.2,Low,23.2,72.0,2020-05-20 02:00:00
2020-05-21,1,2020,10.8,22.2,NW,4.3,490.0,7.0,Medium,22.4,62.0,2020-05-21 02:00:00
2020-05-22,1,2020,13.7,23.0,NE,2.3,-45.0,7.0,Medium,23.2,64.0,2020-05-22 02:00:00
2020-05-23,1,2020,8.7,15.8,NW,2.2,-4.0,7.0,Medium,22.6,67.0,2020-05-23 02:00:00
2020-05-24,1,2020,9.4,25.1,SW,5.7,156.0,7.0,Med-High,23.3,72.0,2020-05-24 02:00:00
2020-05-25,1,2020,11.3,24.5,NE,0.2,-97.0,7.0,Medium,23.7,65.0,2020-05-25 02:00:00
2020-05-26,1,2020,10.9,25.5,S,2.5,1189.0,6.9,Medium,22.4,70.0,2020-05-26 02:00:00
2020-05-27,1,2020,11.1,24.5,S,0.3,-87.0,7.0,Medium,23.8,64.0,2020-05-27 02:00:00
2020-05-28,1,2020,10.8,17.6,SW,4.4,1190.0,7.2,Medium,21.6,75.0,2020-05-28 02:00:00
2020-05-29,1,2020,9.4,15.4,N,0.0,-100.0,7.1,Medium,23.3,62.0,2020-05-29 02:00:00
2020-05-30,1,2020,8.1,24.4,E,0.8,0.0,7.1,Medium,23.6,64.0,2020-05-30 02:00:00
2020-05-31,1,2020,10.3,22.7,SE,3.6,330.0,7.1,Medium,23.4,64.0,2020-05-31 02:00:00
2020-06-01,1,2020,12.4,22.6,S,0.3,-91.0,7.1,Med-High,24.6,66.0,2020-06-01 02:00:00
2020-06-02,1,2020,5.3,14.1,SW,4.7,1284.0,7.4,Med-High,22.5,65.0,2020-06-02 02:00:00
2020-06-03,1,2020,10.3,24.3,NW,2.3,-50.0,6.9,Med-High,23.2,68.0,2020-06-03 02:00:00
2020-06-04,1,2020,10.1,19.1,N,0.0,-100.0,6.9,Med-High,23.5,64.0,2020-06-04 02:00:00
2020-06-05,1,2020,11.4,21.2,NW,0.0,0.0,6.9,Med-High,22.7,74.0,2020-06-05 02:00:00
2020-06-06,1,2020,9.4,17.1,SW,0.0,0.0,7.2,Med-High,24.0,66.0,2020-06-06 02:00:00
2020-06-07,1,2020,9.8,16.6,N,0.3,0.0,7.1,Med-High,24.3,70.0,2020-06-07 02:00:00
2020-06-08,1,2020,11.3,27.0,S,2.7,686.0,7.0,Med-High,24.1,68.0,2020-06-08 02:00:00
2020-06-09,1,2020,11.4,17.4,E,0.7,-76.0,7.1,Med-High,23.7,66.0,2020-06-09 02:00:00
2020-06-10,1,2020,11.1,23.0,S,0.0,-100.0,6.9,Med-High,24.8,67.0,2020-06-10 02:00:00
2020-06-11,1,2020,12.5,28.6,NW,0.0,0.0,7.0,Med-High,22.8,69.0,2020-06-11 02:00:00
2020-06-12,1,2020,9.7,22.4,E,1.6,0.0,7.0,Med-High,23.4,71.0,2020-06-12 02:00:00
2020-06-13,1,2020,12.2,18.1,E,0.2,-87.0,7.0,Med-High,22.5,67.0,2020-06-13 02:00:00
2020-06-14,1,2020,11.9,24.4,NW,2.5,1170.0,7.0,Medium,23.3,65.0,2020-06-14 02:00:00
2020-06-15,1,2020,13.0,28.4,W,4.7,86.0,7.1,Med-High,23.8,61.0,2020-06-15 02:00:00
2020-06-16,1,2020,11.2,21.1,S,0.0,-100.0,6.9,Medium,23.4,71.0,2020-06-16 02:00:00
2020-06-17,1,2020,11.6,21.0,E,0.3,0.0,7.1,Medium,23.8,70.0,2020-06-17 02:00:00
2020-06-18,1,2020,10.7,16.2,SW,4.6,1622.0,7.1,Medium,22.7,69.0,2020-06-18 02:00:00
2020-06-19,1,2020,10.6,20.5,E,1.0,-79.0,6.9,Medium,23.8,68.0,2020-06-19 02:00:00
2020-06-20,1,2020,10.4,18.6,W,0.0,-100.0,7.1,Medium,23.4,67.0,2020-06-20 02:00:00
2020-06-21,1,2020,10.6,18.7,SE,0.0,0.0,7.0,Medium,23.9,67.0,2020-06-21 02:00:00
2020-06-22,1,2020,12.9,25.9,NE,0.6,0.0,7.0,Medium,23.8,64.0,2020-06-22 02:00:00
2020-06-23,1,2020,10.1,23.7,W,0.0,-100.0,6.9,Low,24.5,68.0,2020-06-23 02:00:00
2020-06-24,1,2020,8.4,13.6,N,1.7,0.0,6.8,Low,24.6,63.0,2020-06-24 02:00:00
2020-06-25,1,2020,9.5,25.5,S,1.8,7.0,7.0,Low,23.7,64.0,2020-06-25 02:00:00
2020-06-26,1,2020,12.2,29.4,E,2.4,32.0,7.0,Low,23.5,67.0,2020-06-26 02:00:00
2020-06-27,1,2020,13.8,30.9,NW,0.5,-81.0,6.9,Low,24.5,66.0,2020-06-27 02:00:00
2020-06-28,1,2020,12.9,24.9,E,2.7,482.0,7.1,Low,24.0,70.0,2020-06-28 02:00:00
2020-06-29,1,2020,10.2,23.3,NW,2.1,-21.0,7.1,Low,24.1,67.0,2020-06-29 02:00:00
2020-06-30,1,2020,10.7,16.0,E,3.6,69.0,6.9,Low,24.5,65.0,2020-06-30 02:00:00
2020-07-01,1,2020,10.5,27.3,W,2.8,-23.0,7.1,Low,22.8,70.0,2020-07-01 02:00:00
2020-07-02,1,2020,11.1,27.7,SE,0.6,-77.0,7.0,Low,23.4,68.0,2020-07-02 02:00:00
2020-07-03,1,2020,11.3,27.2,E,0.0,-100.0,7.0,Low,23.9,65.0,2020-07-03 02:00:00
2020-07-04,1,2020,11.9,19.2,NE,0.5,0.0,6.9,Low,25.0,64.0,2020-07-04 02:00:00
2020-07-05,1,2020,10.2,24.4,N,1.7,216.0,7.0,Low,24.4,71.0,2020-07-05 02:00:00
2020-07-06,1,2020,10.9,25.7,SE,2.1,21.0,7.1,Low,23.4,67.0,2020-07-06 02:00:00
2020-07-07,1,2020,10.5,27.1,S,0.1,-95.0,7.0,Low,23.4,64.0,2020-07-07 02:00:00
2020-07-08,1,2020,11.2,20.9,NW,1.5,1306.0,7.0,Low,23.1,63.0,2020-07-08 02:00:00
2020-07-09,1,2020,10.6,26.1,NW,0.0,-100.0,7.0,Low,23.3,63.0,2020-07-09 02:00:00
2020-07-10,1,2020,10.6,25.3,SW,0.4,0.0,7.0,Low,23.9,64.0,2020-07-10 02:00:00
2020-07-11,1,2020,11.9,17.9,E,0.5,11.0,7.0,Low,23.6,67.0,2020-07-11 02:00:00
2020-07-12,1,2020,11.4,22.4,N,3.9,684.0,7.2,Low,25.0,69.0,2020-07-12 02:00:00
2020-07-13,1,2020,12.1,21.8,NW,0.5,-86.0,7.0,Low,24.4,63.0,2020-07-13 02:00:00
2020-07-14,1,2020,9.6,17.8,NE,2.5,372.0,7.0,Low,24.0,62.0,2020-07-14 02:00:00
2020-07-15,1,2020,10.7,18.1,E,0.2,-91.0,7.0,Low,23.2,68.0,2020-07-15 02:00:00
2020-07-16,1,2020,10.5,16.2,S,0.0,-100.0,7.1,Low,23.4,66.0,2020-07-16 02:00:00
2020-07-17,1,2020,10.5,21.0,E,0.0,0.0,7.1,Low,24.2,71.0,2020-07-17 02:00:00
2020-07-18,1,2020,10.8,22.6,NW,2.6,0.0,7.1,Low,23.4,69.0,2020-07-18 02:00:00
2020-07-19,1,2020,10.1,20.2,E,3.0,15.0,7.0,Low,23.5,63.0,2020-07-19 02:00:00
2020-07-20,1,2020,13.3,28.4,SW,0.3,-90.0,7.0,Low,23.9,68.0,2020-07-20 02:00:00
2020-07-21,1,2020,13.4,22.5,N,3.9,1187.0,6.9,Low,23.8,68.0,2020-07-21 02:00:00
2020-07-22,1,2020,11.0,21.2,S,1.5,-60.0,7.0,Low,25.0,63.0,2020-07-22 02:00:00
2020-07-23,1,2020,11.0,17.7,SE,0.1,-97.0,6.9,Low,24.5,64.0,2020-07-23 02:00:00
2020-07-24,1,2020,11.1,16.3,S,0.0,-100.0,6.8,Low,23.3,64.0,2020-07-24 02:00:00
2020-07-25,1,2020,10.5,18.8,SE,1.8,0.0,6.9,Low,24.5,61.0,2020-07-25 02:00:00
2020-07-26,1,2020,10.4,17.0,S,0.0,-100.0,7.0,Low,24.3,66.0,2020-07-26 02:00:00
2020-07-27,1,2020,7.2,17.9,S,4.3,0.0,7.1,Low,24.5,63.0,2020-07-27 02:00:00
2020-07-28,1,2020,11.8,23.0,E,3.2,-27.0,6.9,Low,24.0,60.0,2020-07-28 02:00:00
2020-07-29,1,2020,9.4,15.4,E,6.7,113.0,7.0,Low,24.9,65.0,2020-07-29 02:00:00
2020-07-30,1,2020,10.0,15.8,SE,2.1,-68.0,7.2,Low,23.7,64.0,2020-07-30 02:00:00
2020-07-31,1,2020,11.3,28.2,E,0.5,-78.0,6.9,Low,23.6,73.0,2020-07-31 02:00:00
2020-08-01,1,2020,11.9,27.9,NW,0.4,-20.0,7.0,Low,23.6,69.0,2020-08-01 02:00:00
2020-08-02,1,2020,9.9,16.9,NE,0.6,54.0,7.1,Low,23.1,65.0,2020-08-02 02:00:00
2020-08-03,1,2020,10.0,26.4,SE,3.8,543.0,7.0,Low,23.3,64.0,2020-08-03 02:00:00
2020-08-04,1,2020,10.6,22.2,SW,0.0,-100.0,7.1,Low,24.5,66.0,2020-08-04 02:00:00
2020-08-05,1,2020,12.2,17.3,SW,0.6,0.0,6.7,Low,23.2,67.0,2020-08-05 02:00:00
2020-08-06,1,2020,11.5,26.5,S,0.0,-100.0,7.0,Low,25.0,64.0,2020-08-06 02:00:00
2020-08-07,1,2020,8.6,26.2,E,0.0,0.0,7.1,Low,24.9,68.0,2020-08-07 02:00:00
2020-08-08,1,2020,11.8,25.4,NW,6.0,0.0,7.0,Low,23.8,66.0,2020-08-08 02:00:00
2020-08-09,1,2020,10.3,22.6,S,1.6,-73.0,7.0,Low,23.7,63.0,2020-08-09 02:00:00
2020-08-10,1,2020,9.8,19.2,NE,1.8,11.0,6.8,Low,25.5,59.0,2020-08-10 02:00:00
2020-08-11,1,2020,10.9,26.6,N,2.0,14.0,7.0,Low,26.2,62.0,2020-08-11 02:00:00
2020-08-12,1,2020,11.2,23.7,N,0.0,-100.0,6.8,Low,24.3,61.0,2020-08-12 02:00:00
2020-08-13,1,2020,9.0,25.2,NW,0.0,0.0,6.8,Low,24.5,65.0,2020-08-13 02:00:00
2020-08-14,1,2020,8.8,25.0,NW,2.9,0.0,6.7,Low,23.9,64.0,2020-08-14 02:00:00
2020-08-15,1,2020,13.8,27.2,W,0.0,-100.0,7.0,Low,23.6,69.0,2020-08-15 02:00:00
2020-08-16,1,2020,9.2,21.6,NE,2.2,0.0,7.0,Low,24.1,64.0,2020-08-16 02:00:00
2020-08-17,1,2020,11.2,28.2,SW,0.5,-78.0,7.0,Low,24.2,64.0,2020-08-17 02:00:00
2020-08-18,1,2020,8.8,22.3,SE,1.0,101.0,6.9,Low,24.8,66.0,2020-08-18 02:00:00
2020-08-19,1,2020,9.3,17.0,N,0.0,-100.0,6.9,Low,23.5,68.0,2020-08-19 02:00:00
2020-08-20,1,2020,9.5,19.2,S,0.7,0.0,7.1,Low,24.0,61.0,2020-08-20 02:00:00
