time,region_id,year_id,ndvi,ndwi,land_surface_temperature_c,satellite_soil_moisture_percent,satellite_source,vegetation_condition_index,evapotranspiration_sebal_mmday,updated_at
2020-02-10,1,2020,0.732,0.274,26.09,33.13,MODIS,78.98,5.83,2020-02-10 02:00:00
2020-02-11,1,2020,0.715,0.258,27.53,30.03,MODIS,72.2,5.37,2020-02-11 02:00:00
2020-02-12,1,2020,0.747,0.281,26.46,30.04,MODIS,84.77,6.37,2020-02-12 02:00:00
2020-02-13,1,2020,0.712,0.216,25.96,27.32,MODIS,71.03,5.73,2020-02-13 02:00:00
2020-02-14,1,2020,0.712,0.228,25.79,29.25,MODIS,70.71,5.3,2020-02-14 02:00:00
2020-02-15,1,2020,0.738,0.217,26.98,29.76,MODIS,81.43,5.71,2020-02-15 02:00:00
2020-02-16,1,2020,0.724,0.205,26.9,32.54,MODIS,75.72,6.68,2020-02-16 02:00:00
2020-02-17,1,2020,0.73,0.199,26.76,28.69,MODIS,78.1,5.35,2020-02-17 02:00:00
2020-02-18,1,2020,0.727,0.222,26.9,27.29,MODIS,76.88,6.29,2020-02-18 02:00:00
2020-02-19,1,2020,0.747,0.22,26.0,32.58,MODIS,85.09,6.08,2020-02-19 02:00:00
2020-02-20,1,2020,0.704,0.184,26.57,30.82,MODIS,67.68,5.68,2020-02-20 02:00:00
2020-02-21,1,2020,0.748,0.221,27.14,29.98,MODIS,85.36,5.78,2020-02-21 02:00:00
2020-02-22,1,2020,0.731,0.164,25.99,30.04,MODIS,78.55,5.15,2020-02-22 02:00:00
2020-02-23,1,2020,0.732,0.208,26.54,28.94,MODIS,79.08,6.02,2020-02-23 02:00:00
2020-02-24,1,2020,0.727,0.251,26.26,30.68,MODIS,76.99,5.69,2020-02-24 02:00:00
2020-02-25,1,2020,0.71,0.248,26.37,29.48,MODIS,70.06,5.54,2020-02-25 02:00:00
2020-02-26,1,2020,0.741,0.208,26.69,29.53,MODIS,82.71,6.19,2020-02-26 02:00:00
2020-02-27,1,2020,0.715,0.241,26.28,28.77,MODIS,72.05,5.58,2020-02-27 02:00:00
2020-02-28,1,2020,0.744,0.449,26.9,28.43,MODIS,83.78,6.18,2020-02-28 02:00:00
2020-02-29,1,2020,0.738,0.228,26.06,31.14,MODIS,81.21,5.97,2020-02-29 02:00:00
2020-03-01,1,2020,0.726,0.223,26.4,26.09,MODIS,76.35,6.05,2020-03-01 02:00:00
2020-03-02,1,2020,0.714,0.273,25.99,29.77,MODIS,71.71,5.47,2020-03-02 02:00:00
2020-03-03,1,2020,0.735,0.6,27.98,33.11,MODIS,80.09,5.13,2020-03-03 02:00:00
2020-03-04,1,2020,0.758,0.216,26.86,26.17,MODIS,89.55,6.02,2020-03-04 02:00:00
2020-03-05,1,2020,0.719,0.267,27.93,29.1,MODIS,73.76,5.02,2020-03-05 02:00:00
2020-03-06,1,2020,0.707,0.6,26.02,32.25,MODIS,68.62,6.02,2020-03-06 02:00:00
2020-03-07,1,2020,0.718,0.571,27.09,29.97,MODIS,73.34,5.45,2020-03-07 02:00:00
2020-03-08,1,2020,0.735,0.229,27.68,29.01,MODIS,80.11,5.69,2020-03-08 02:00:00
2020-03-09,1,2020,0.733,0.246,26.52,23.59,MODIS,79.29,5.9,2020-03-09 02:00:00
2020-03-10,1,2020,0.699,0.229,27.35,28.27,MODIS,65.51,5.38,2020-03-10 02:00:00
2020-03-11,1,2020,0.727,0.229,27.5,27.48,MODIS,76.83,6.39,2020-03-11 02:00:00
2020-03-12,1,2020,0.719,0.35,26.77,29.89,MODIS,73.68,5.89,2020-03-12 02:00:00
2020-03-13,1,2020,0.732,0.301,27.2,32.75,MODIS,78.71,5.8,2020-03-13 02:00:00
2020-03-14,1,2020,0.723,0.264,27.11,28.23,MODIS,75.28,7.04,2020-03-14 02:00:00
2020-03-15,1,2020,0.731,0.227,26.17,23.81,MODIS,78.48,6.14,2020-03-15 02:00:00
2020-03-16,1,2020,0.735,0.264,26.73,27.76,MODIS,80.16,5.16,2020-03-16 02:00:00
2020-03-17,1,2020,0.709,0.226,27.4,29.5,MODIS,69.45,5.63,2020-03-17 02:00:00
2020-03-18,1,2020,0.707,0.272,27.76,29.61,MODIS,68.86,5.85,2020-03-18 02:00:00
2020-03-19,1,2020,0.734,0.344,28.41,28.82,MODIS,79.62,6.26,2020-03-19 02:00:00
2020-03-20,1,2020,0.696,0.247,26.25,30.32,MODIS,64.4,6.17,2020-03-20 02:00:00
2020-03-21,1,2020,0.716,0.215,27.04,28.65,MODIS,72.63,5.88,2020-03-21 02:00:00
2020-03-22,1,2020,0.707,0.286,28.08,30.83,MODIS,68.89,5.97,2020-03-22 02:00:00
2020-03-23,1,2020,0.715,0.193,26.85,25.23,MODIS,72.13,6.36,2020-03-23 02:00:00
2020-03-24,1,2020,0.684,0.207,26.54,27.49,MODIS,59.36,5.81,2020-03-24 02:00:00
2020-03-25,1,2020,0.704,0.226,26.94,28.52,MODIS,67.65,5.21,2020-03-25 02:00:00
2020-03-26,1,2020,0.709,0.232,26.67,29.27,MODIS,69.52,6.16,2020-03-26 02:00:00
2020-03-27,1,2020,0.695,0.384,26.62,28.87,MODIS,63.85,4.93,2020-03-27 02:00:00
2020-03-28,1,2020,0.708,0.239,25.4,27.67,MODIS,69.14,5.41,2020-03-28 02:00:00
2020-03-29,1,2020,0.7,0.229,26.55,29.92,MODIS,65.93,6.33,2020-03-29 02:00:00
2020-03-30,1,2020,0.724,0.26,26.78,29.73,MODIS,75.58,5.29,2020-03-30 02:00:00
2020-03-31,1,2020,0.731,0.246,26.3,29.25,MODIS,78.65,5.42,2020-03-31 02:00:00
2020-04-01,1,2020,0.716,0.321,26.11,32.69,MODIS,72.58,5.86,2020-04-01 02:00:00
2020-04-02,1,2020,0.701,0.176,27.72,28.82,MODIS,66.45,6.19,2020-04-02 02:00:00
2020-04-03,1,2020,0.727,0.327,27.06,27.14,MODIS,76.84,5.59,2020-04-03 02:00:00
2020-04-04,1,2020,0.719,0.257,25.19,25.64,MODIS,73.56,5.38,2020-04-04 02:00:00
2020-04-05,1,2020,0.685,0.25,27.53,32.23,MODIS,60.07,5.49,2020-04-05 02:00:00
2020-04-06,1,2020,0.708,0.207,25.75,29.4,MODIS,69.32,6.81,2020-04-06 02:00:00
2020-04-07,1,2020,0.698,0.225,26.09,27.26,MODIS,65.1,6.4,2020-04-07 02:00:00
2020-04-08,1,2020,0.687,0.205,27.24,29.38,MODIS,60.63,6.27,2020-04-08 02:00:00
2020-04-09,1,2020,0.695,0.371,26.97,28.37,MODIS,63.83,5.58,2020-04-09 02:00:00
2020-04-10,1,2020,0.708,0.191,27.07,28.71,MODIS,69.25,6.11,2020-04-10 02:00:00
2020-04-11,1,2020,0.707,0.209,26.99,26.36,MODIS,68.64,6.44,2020-04-11 02:00:00
2020-04-12,1,2020,0.691,0.213,27.26,28.52,MODIS,62.46,6.11,2020-04-12 02:00:00
2020-04-13,1,2020,0.693,0.227,27.26,29.81,MODIS,63.31,5.62,2020-04-13 02:00:00
2020-04-14,1,2020,0.715,0.255,27.05,29.5,MODIS,72.23,4.62,2020-04-14 02:00:00
2020-04-15,1,2020,0.684,0.245,26.83,27.62,MODIS,59.74,5.9,2020-04-15 02:00:00
2020-04-16,1,2020,0.687,0.279,27.19,31.86,MODIS,60.58,6.57,2020-04-16 02:00:00
2020-04-17,1,2020,0.699,0.264,26.58,30.35,MODIS,65.77,5.76,2020-04-17 02:00:00
2020-04-18,1,2020,0.7,0.197,27.55,26.74,MODIS,66.13,6.26,2020-04-18 02:00:00
2020-04-19,1,2020,0.716,0.28,26.78,28.89,MODIS,72.55,5.88,2020-04-19 02:00:00
2020-04-20,1,2020,0.707,0.253,28.23,28.85,MODIS,68.95,5.56,2020-04-20 02:00:00
2020-04-21,1,2020,0.703,0.377,26.73,26.08,MODIS,67.04,6.51,2020-04-21 02:00:00
2020-04-22,1,2020,0.685,0.184,26.57,28.68,MODIS,59.84,5.84,2020-04-22 02:00:00
2020-04-23,1,2020,0.694,0.224,27.71,24.3,MODIS,63.68,6.39,2020-04-23 02:00:00
2020-04-24,1,2020,0.68,0.196,26.31,27.48,MODIS,58.08,6.18,2020-04-24 02:00:00
2020-04-25,1,2020,0.7,0.232,27.01,28.81,MODIS,65.89,5.75,2020-04-25 02:00:00
2020-04-26,1,2020,0.708,0.35,27.8,27.0,MODIS,69.18,6.21,2020-04-26 02:00:00
2020-04-27,1,2020,0.692,0.355,26.29,28.71,MODIS,62.85,6.58,2020-04-27 02:00:00
2020-04-28,1,2020,0.694,0.178,26.86,28.3,MODIS,63.69,6.39,2020-04-28 02:00:00
2020-04-29,1,2020,0.693,0.446,28.4,26.31,MODIS,62.98,5.45,2020-04-29 02:00:00
2020-04-30,1,2020,0.705,0.272,27.99,29.45,MODIS,68.18,5.71,2020-04-30 02:00:00
2020-05-01,1,2020,0.68,0.329,27.27,28.24,MODIS,57.79,5.47,2020-05-01 02:00:00
2020-05-02,1,2020,0.721,0.257,27.16,25.85,MODIS,74.6,5.76,2020-05-02 02:00:00
2020-05-03,1,2020,0.694,0.247,27.31,26.47,MODIS,63.6,6.34,2020-05-03 02:00:00
2020-05-04,1,2020,0.702,0.224,28.28,27.01,MODIS,66.93,5.13,2020-05-04 02:00:00
2020-05-05,1,2020,0.69,0.361,28.34,29.53,MODIS,61.98,6.27,2020-05-05 02:00:00
2020-05-06,1,2020,0.719,0.217,26.33,21.13,MODIS,73.59,5.53,2020-05-06 02:00:00
2020-05-07,1,2020,0.7,0.259,27.81,26.16,MODIS,66.09,5.27,2020-05-07 02:00:00
2020-05-08,1,2020,0.666,0.225,27.12,28.76,MODIS,52.15,6.19,2020-05-08 02:00:00
2020-05-09,1,2020,0.673,0.195,27.48,27.85,MODIS,55.09,7.14,2020-05-09 02:00:00
2020-05-10,1,2020,0.658,0.265,27.14,27.61,MODIS,48.9,5.72,2020-05-10 02:00:00
2020-05-11,1,2020,0.704,0.229,27.52,31.95,MODIS,67.7,4.99,2020-05-11 02:00:00
2020-05-12,1,2020,0.702,0.174,26.95,24.16,MODIS,66.65,5.75,2020-05-12 02:00:00
2020-05-13,1,2020,0.689,0.289,28.45,29.81,MODIS,61.53,6.24,2020-05-13 02:00:00
2020-05-14,1,2020,0.679,0.372,27.28,29.92,MODIS,57.35,6.15,2020-05-14 02:00:00
2020-05-15,1,2020,0.666,0.223,28.3,28.84,MODIS,52.14,6.12,2020-05-15 02:00:00
2020-05-16,1,2020,0.654,0.263,26.89,24.1,MODIS,47.4,7.24,2020-05-16 02:00:00
2020-05-17,1,2020,0.684,0.336,28.48,31.39,MODIS,59.63,6.29,2020-05-17 02:00:00
2020-05-18,1,2020,0.677,0.232,27.34,27.4,MODIS,56.89,6.19,2020-05-18 02:00:00
2020-05-19,1,2020,0.709,0.464,27.38,26.92,MODIS,69.62,5.84,2020-05-19 02:00:00
2020-05-20,1,2020,0.664,0.252,28.39,25.42,MODIS,51.46,6.26,2020-05-20 02:00:00
2020-05-21,1,2020,0.675,0.358,28.76,28.38,MODIS,56.09,5.88,2020-05-21 02:00:00
2020-05-22,1,2020,0.679,0.291,27.89,29.84,MODIS,57.68,6.65,2020-05-22 02:00:00
2020-05-23,1,2020,0.665,0.267,26.3,25.03,MODIS,51.88,6.11,2020-05-23 02:00:00
2020-05-24,1,2020,0.644,0.47,27.47,28.99,MODIS,43.45,5.55,2020-05-24 02:00:00
2020-05-25,1,2020,0.66,0.193,26.21,30.74,MODIS,49.84,6.43,2020-05-25 02:00:00
2020-05-26,1,2020,0.697,0.315,27.18,30.11,MODIS,64.88,6.09,2020-05-26 02:00:00
2020-05-27,1,2020,0.676,0.213,27.53,29.51,MODIS,56.51,5.51,2020-05-27 02:00:00
2020-05-28,1,2020,0.679,0.403,29.09,29.95,MODIS,57.7,5.34,2020-05-28 02:00:00
2020-05-29,1,2020,0.64,0.196,28.52,23.72,MODIS,41.99,6.73,2020-05-29 02:00:00
2020-05-30,1,2020,0.676,0.237,27.94,29.73,MODIS,56.34,5.9,2020-05-30 02:00:00
2020-05-31,1,2020,0.689,0.368,27.27,28.18,MODIS,61.73,5.37,2020-05-31 02:00:00
2020-06-01,1,2020,0.642,0.246,28.49,24.6,MODIS,42.8,5.58,2020-06-01 02:00:00
2020-06-02,1,2020,0.659,0.405,27.55,27.55,MODIS,49.55,6.07,2020-06-02 02:00:00
2020-06-03,1,2020,0.682,0.288,27.03,27.51,MODIS,58.57,5.52,2020-06-03 02:00:00
2020-06-04,1,2020,0.676,0.182,28.26,27.2,MODIS,56.21,6.86,2020-06-04 02:00:00
2020-06-05,1,2020,0.68,0.206,26.87,27.64,MODIS,57.99,6.72,2020-06-05 02:00:00
2020-06-06,1,2020,0.664,0.187,28.14,28.95,MODIS,51.56,5.83,2020-06-06 02:00:00
2020-06-07,1,2020,0.667,0.179,27.47,27.12,MODIS,52.75,6.46,2020-06-07 02:00:00
2020-06-08,1,2020,0.682,0.297,28.09,26.86,MODIS,58.75,6.61,2020-06-08 02:00:00
2020-06-09,1,2020,0.667,0.228,27.67,29.37,MODIS,52.76,6.18,2020-06-09 02:00:00
2020-06-10,1,2020,0.688,0.201,27.57,30.76,MODIS,61.02,6.56,2020-06-10 02:00:00
2020-06-11,1,2020,0.659,0.18,26.86,26.99,MODIS,49.36,5.54,2020-06-11 02:00:00
2020-06-12,1,2020,0.673,0.277,26.88,28.14,MODIS,54.97,5.94,2020-06-12 02:00:00
2020-06-13,1,2020,0.683,0.214,27.39,29.74,MODIS,59.31,5.81,2020-06-13 02:00:00
2020-06-14,1,2020,0.662,0.297,28.14,27.26,MODIS,50.79,5.88,2020-06-14 02:00:00
2020-06-15,1,2020,0.656,0.414,28.15,23.36,MODIS,48.07,7.39,2020-06-15 02:00:00
2020-06-16,1,2020,0.695,0.213,28.62,25.23,MODIS,64.02,6.56,2020-06-16 02:00:00
2020-06-17,1,2020,0.696,0.23,27.97,28.95,MODIS,64.24,5.78,2020-06-17 02:00:00
2020-06-18,1,2020,0.646,0.413,28.47,29.48,MODIS,44.08,6.27,2020-06-18 02:00:00
2020-06-19,1,2020,0.649,0.251,28.6,27.64,MODIS,45.49,5.91,2020-06-19 02:00:00
2020-06-20,1,2020,0.666,0.166,27.23,24.24,MODIS,52.39,5.5,2020-06-20 02:00:00
2020-06-21,1,2020,0.661,0.2,26.46,27.09,MODIS,50.37,5.73,2020-06-21 02:00:00
2020-06-22,1,2020,0.681,0.229,27.09,28.41,MODIS,58.25,6.09,2020-06-22 02:00:00
2020-06-23,1,2020,0.664,0.212,27.67,27.06,MODIS,51.46,6.91,2020-06-23 02:00:00
2020-06-24,1,2020,0.661,0.259,27.59,27.64,MODIS,50.45,5.93,2020-06-24 02:00:00
2020-06-25,1,2020,0.651,0.242,29.4,25.73,MODIS,46.1,6.3,2020-06-25 02:00:00
2020-06-26,1,2020,0.656,0.318,28.23,28.98,MODIS,48.15,6.36,2020-06-26 02:00:00
2020-06-27,1,2020,0.615,0.194,27.31,26.79,MODIS,31.54,6.63,2020-06-27 02:00:00
2020-06-28,1,2020,0.642,0.318,26.74,27.02,MODIS,42.76,6.39,2020-06-28 02:00:00
2020-06-29,1,2020,0.646,0.29,27.53,24.04,MODIS,44.17,6.18,2020-06-29 02:00:00
2020-06-30,1,2020,0.663,0.364,27.93,25.5,MODIS,50.98,6.27,2020-06-30 02:00:00
2020-07-01,1,2020,0.68,0.341,27.22,29.59,MODIS,58.05,6.83,2020-07-01 02:00:00
2020-07-02,1,2020,0.661,0.247,28.81,26.68,MODIS,50.29,5.57,2020-07-02 02:00:00
2020-07-03,1,2020,0.658,0.209,27.87,30.01,MODIS,49.0,6.49,2020-07-03 02:00:00
2020-07-04,1,2020,0.649,0.257,27.45,23.62,MODIS,45.27,6.18,2020-07-04 02:00:00
2020-07-05,1,2020,0.622,0.276,27.77,26.26,MODIS,34.63,6.58,2020-07-05 02:00:00
2020-07-06,1,2020,0.657,0.28,27.25,30.09,MODIS,48.67,7.09,2020-07-06 02:00:00
2020-07-07,1,2020,0.645,0.172,28.52,25.57,MODIS,43.86,6.28,2020-07-07 02:00:00
2020-07-08,1,2020,0.682,0.253,28.05,27.68,MODIS,58.59,6.37,2020-07-08 02:00:00
2020-07-09,1,2020,0.662,0.223,28.82,27.27,MODIS,50.76,6.27,2020-07-09 02:00:00
2020-07-10,1,2020,0.663,0.225,28.34,26.08,MODIS,51.18,6.88,2020-07-10 02:00:00
2020-07-11,1,2020,0.664,0.234,28.91,27.51,MODIS,51.48,5.84,2020-07-11 02:00:00
2020-07-12,1,2020,0.663,0.378,29.18,27.35,MODIS,50.95,5.88,2020-07-12 02:00:00
2020-07-13,1,2020,0.619,0.184,28.38,26.99,MODIS,33.44,5.79,2020-07-13 02:00:00
2020-07-14,1,2020,0.626,0.324,28.21,27.76,MODIS,36.1,6.73,2020-07-14 02:00:00
2020-07-15,1,2020,0.668,0.217,28.6,26.66,MODIS,53.26,5.62,2020-07-15 02:00:00
2020-07-16,1,2020,0.659,0.237,27.94,27.35,MODIS,49.32,6.01,2020-07-16 02:00:00
2020-07-17,1,2020,0.664,0.211,27.42,28.86,MODIS,51.34,6.33,2020-07-17 02:00:00
2020-07-18,1,2020,0.658,0.315,28.39,26.12,MODIS,49.19,6.72,2020-07-18 02:00:00
2020-07-19,1,2020,0.614,0.359,28.6,28.53,MODIS,31.45,6.76,2020-07-19 02:00:00
2020-07-20,1,2020,0.674,0.233,28.22,29.45,MODIS,55.63,6.25,2020-07-20 02:00:00
2020-07-21,1,2020,0.64,0.389,27.97,26.22,MODIS,41.88,6.44,2020-07-21 02:00:00
2020-07-22,1,2020,0.664,0.284,27.84,24.59,MODIS,51.35,6.97,2020-07-22 02:00:00
2020-07-23,1,2020,0.643,0.208,28.25,27.02,MODIS,42.84,5.79,2020-07-23 02:00:00
2020-07-24,1,2020,0.622,0.187,28.93,20.58,MODIS,34.44,6.35,2020-07-24 02:00:00
2020-07-25,1,2020,0.65,0.279,28.97,24.28,MODIS,45.88,7.65,2020-07-25 02:00:00
2020-07-26,1,2020,0.646,0.195,28.97,21.76,MODIS,44.12,5.79,2020-07-26 02:00:00
2020-07-27,1,2020,0.659,0.401,28.05,27.66,MODIS,49.3,6.98,2020-07-27 02:00:00
2020-07-28,1,2020,0.641,0.355,27.04,26.92,MODIS,42.24,6.22,2020-07-28 02:00:00
2020-07-29,1,2020,0.644,0.488,27.9,29.31,MODIS,43.45,6.0,2020-07-29 02:00:00
2020-07-30,1,2020,0.661,0.285,28.86,28.46,MODIS,50.31,6.99,2020-07-30 02:00:00
2020-07-31,1,2020,0.669,0.207,27.7,27.1,MODIS,53.52,6.06,2020-07-31 02:00:00
2020-08-01,1,2020,0.669,0.215,28.54,28.63,MODIS,53.36,5.76,2020-08-01 02:00:00
2020-08-02,1,2020,0.662,0.218,28.55,26.31,MODIS,50.62,6.08,2020-08-02 02:00:00
2020-08-03,1,2020,0.662,0.343,27.8,27.93,MODIS,50.55,6.26,2020-08-03 02:00:00
2020-08-04,1,2020,0.64,0.224,28.73,22.7,MODIS,41.68,6.8,2020-08-04 02:00:00
2020-08-05,1,2020,0.661,0.237,26.74,28.34,MODIS,50.17,5.99,2020-08-05 02:00:00
2020-08-06,1,2020,0.615,0.229,27.8,30.12,MODIS,31.82,6.21,2020-08-06 02:00:00
2020-08-07,1,2020,0.627,0.204,27.9,20.89,MODIS,36.4,6.24,2020-08-07 02:00:00
2020-08-08,1,2020,0.66,0.462,29.25,25.97,MODIS,49.67,6.49,2020-08-08 02:00:00
2020-08-09,1,2020,0.645,0.258,28.59,24.67,MODIS,43.91,7.24,2020-08-09 02:00:00
2020-08-10,1,2020,0.644,0.286,29.11,26.88,MODIS,43.47,5.92,2020-08-10 02:00:00
2020-08-11,1,2020,0.664,0.317,28.09,28.64,MODIS,51.39,6.66,2020-08-11 02:00:00
2020-08-12,1,2020,0.651,0.207,27.99,25.63,MODIS,46.33,6.47,2020-08-12 02:00:00
2020-08-13,1,2020,0.646,0.225,27.63,26.63,MODIS,44.34,6.73,2020-08-13 02:00:00
2020-08-14,1,2020,0.631,0.331,28.51,28.82,MODIS,38.13,6.12,2020-08-14 02:00:00
2020-08-15,1,2020,0.633,0.196,28.54,28.3,MODIS,39.03,6.52,2020-08-15 02:00:00
2020-08-16,1,2020,0.632,0.318,28.56,22.74,MODIS,38.51,6.52,2020-08-16 02:00:00
2020-08-17,1,2020,0.65,0.217,28.95,26.08,MODIS,45.69,6.65,2020-08-17 02:00:00
2020-08-18,1,2020,0.641,0.254,29.22,25.26,MODIS,42.39,7.05,2020-08-18 02:00:00
2020-08-19,1,2020,0.628,0.23,27.89,25.0,MODIS,36.88,6.6,2020-08-19 02:00:00
2020-08-20,1,2020,0.67,0.226,29.65,27.3,MODIS,53.95,6.58,2020-08-20 02:00:00
2020-08-21,1,2020,0.619,0.275,28.55,28.14,MODIS,33.42,6.42,2020-08-21 02:00:00
2020-08-22,1,2020,0.649,0.322,27.9,25.66,MODIS,45.4,6.8,2020-08-22 02:00:00
2020-08-23,1,2020,0.656,0.257,28.7,24.83,MODIS,48.18,6.34,2020-08-23 02:00:00
2020-08-24,1,2020,0.638,0.351,27.87,26.93,MODIS,41.16,5.97,2020-08-24 02:00:00
2020-08-25,1,2020,0.637,0.268,27.99,28.24,MODIS,40.76,5.55,2020-08-25 02:00:00
2020-08-26,1,2020,0.628,0.209,28.93,23.64,MODIS,36.82,6.96,2020-08-26 02:00:00
2020-08-27,1,2020,0.623,0.244,28.09,24.46,MODIS,34.82,7.45,2020-08-27 02:00:00
2020-08-28,1,2020,0.649,0.348,28.05,24.41,MODIS,45.59,6.49,2020-08-28 02:00:00
2020-08-29,1,2020,0.628,0.188,27.75,27.41,MODIS,37.04,6.55,2020-08-29 02:00:00
2020-08-30,1,2020,0.619,0.249,28.35,22.64,MODIS,33.15,7.05,2020-08-30 02:00:00
2020-08-31,1,2020,0.627,0.198,27.34,25.74,MODIS,36.38,5.93,2020-08-31 02:00:00
2020-09-01,1,2020,0.633,0.368,29.29,29.22,MODIS,39.06,6.51,2020-09-01 02:00:00
2020-09-02,1,2020,0.641,0.18,29.14,26.26,MODIS,42.04,6.41,2020-09-02 02:00:00
2020-09-03,1,2020,0.657,0.343,28.66,21.49,MODIS,48.58,5.66,2020-09-03 02:00:00
2020-09-04,1,2020,0.63,0.243,28.15,28.15,MODIS,37.85,5.98,2020-09-04 02:00:00
2020-09-05,1,2020,0.629,0.248,27.87,26.83,MODIS,37.3,6.4,2020-09-05 02:00:00
2020-09-06,1,2020,0.623,0.335,28.08,23.76,MODIS,34.86,6.77,2020-09-06 02:00:00
2020-09-07,1,2020,0.624,0.229,28.63,27.59,MODIS,35.4,6.53,2020-09-07 02:00:00
2020-09-08,1,2020,0.648,0.219,29.12,24.6,MODIS,45.12,5.55,2020-09-08 02:00:00
2020-09-09,1,2020,0.612,0.191,28.8,24.5,MODIS,30.56,5.98,2020-09-09 02:00:00
2020-09-10,1,2020,0.602,0.22,28.67,25.57,MODIS,26.46,6.77,2020-09-10 02:00:00
2020-09-11,1,2020,0.626,0.277,28.22,28.76,MODIS,36.23,6.32,2020-09-11 02:00:00
2020-09-12,1,2020,0.635,0.196,28.43,29.84,MODIS,39.8,7.02,2020-09-12 02:00:00
2020-09-13,1,2020,0.617,0.274,29.34,26.3,MODIS,32.5,6.31,2020-09-13 02:00:00
