time,region_id,year_id,moisture_content_percent,sand_ratio,clay_ratio,silt_ratio,root_zone_depth_mm,organic_matter_percent,infiltration_rate_mmhr,field_capacity_percent,wilting_point_percent,salinity_ece_dsm,soil_ph_level,updated_at
2020-05-22,1,2020,30.08,42.4,22.03,35.57,433.0,2.37,12.23,29.21,13.15,0.912,6.7,2020-05-22 02:00:00
2020-05-23,1,2020,28.55,39.55,22.66,37.79,451.0,2.16,12.27,33.37,13.57,0.911,7.0,2020-05-23 02:00:00
2020-05-24,1,2020,33.13,40.44,23.82,35.74,449.0,2.16,12.56,32.16,13.67,0.911,6.9,2020-05-24 02:00:00
2020-05-25,1,2020,30.38,42.35,24.01,33.64,444.0,2.22,12.16,30.68,13.85,0.883,6.7,2020-05-25 02:00:00
2020-05-26,1,2020,30.24,45.73,24.33,29.94,442.0,2.19,10.96,32.68,14.22,0.987,6.8,2020-05-26 02:00:00
2020-05-27,1,2020,26.19,42.82,26.78,30.4,438.0,2.38,11.7,30.46,14.21,0.926,6.7,2020-05-27 02:00:00
2020-05-28,1,2020,30.03,44.68,23.09,32.23,440.0,2.17,12.51,30.75,14.41,0.9,6.9,2020-05-28 02:00:00
2020-05-29,1,2020,28.28,40.56,24.16,35.28,458.0,2.19,12.1,28.86,14.75,0.895,6.8,2020-05-29 02:00:00
2020-05-30,1,2020,24.92,41.11,24.96,33.93,440.0,2.02,12.35,30.77,12.98,0.891,6.8,2020-05-30 02:00:00
2020-05-31,1,2020,26.23,42.81,25.23,31.96,442.0,2.26,10.32,29.86,13.96,0.971,6.8,2020-05-31 02:00:00
2020-06-01,1,2020,33.53,44.71,23.42,31.87,435.0,2.33,13.52,30.71,13.8,0.914,6.9,2020-06-01 02:00:00
2020-06-02,1,2020,33.2,42.35,24.56,33.09,464.0,2.38,12.25,31.97,13.92,0.928,6.9,2020-06-02 02:00:00
2020-06-03,1,2020,38.24,44.76,23.02,32.22,438.0,1.96,12.35,31.43,14.03,0.963,6.9,2020-06-03 02:00:00
2020-06-04,1,2020,43.76,42.88,23.7,33.42,445.0,2.38,10.02,31.47,13.4,0.977,6.7,2020-06-04 02:00:00
2020-06-05,1,2020,45.0,38.65,22.09,39.26,449.0,2.13,12.67,30.42,13.2,0.955,6.8,2020-06-05 02:00:00
2020-06-06,1,2020,40.72,42.32,22.53,35.15,435.0,2.33,13.28,29.71,13.37,1.005,6.9,2020-06-06 02:00:00
2020-06-07,1,2020,39.92,39.9,24.24,35.86,445.0,2.07,9.97,31.52,13.5,0.86,7.0,2020-06-07 02:00:00
2020-06-08,1,2020,38.67,39.25,21.7,39.05,443.0,2.37,9.62,31.73,12.49,0.965,7.0,2020-06-08 02:00:00
2020-06-09,1,2020,37.87,40.97,22.74,36.29,425.0,2.0,14.22,30.86,15.67,1.07,6.9,2020-06-09 02:00:00
2020-06-10,1,2020,35.72,43.63,25.06,31.31,442.0,2.45,13.89,30.92,14.58,1.004,6.9,2020-06-10 02:00:00
2020-06-11,1,2020,33.44,41.36,24.75,33.89,453.0,2.3,11.23,30.86,13.36,0.953,6.8,2020-06-11 02:00:00
2020-06-12,1,2020,32.57,44.98,25.33,29.69,447.0,2.48,12.05,31.22,14.69,0.967,6.8,2020-06-12 02:00:00
2020-06-13,1,2020,29.57,42.29,22.94,34.77,444.0,2.27,10.75,29.44,12.44,0.952,6.9,2020-06-13 02:00:00
2020-06-14,1,2020,29.63,43.67,22.58,33.75,449.0,2.21,14.41,33.58,15.28,0.864,6.9,2020-06-14 02:00:00
2020-06-15,1,2020,30.36,42.32,25.06,32.62,458.0,2.2,11.32,30.58,14.8,0.911,6.7,2020-06-15 02:00:00
2020-06-16,1,2020,29.74,41.86,23.75,34.39,463.0,2.15,13.82,30.53,13.21,0.962,6.9,2020-06-16 02:00:00
2020-06-17,1,2020,26.84,45.94,22.58,31.48,440.0,1.92,14.5,30.59,13.9,0.968,7.0,2020-06-17 02:00:00
2020-06-18,1,2020,28.56,43.81,23.36,32.83,446.0,2.12,11.78,30.27,14.45,1.007,6.8,2020-06-18 02:00:00
2020-06-19,1,2020,24.46,40.72,24.09,35.19,427.0,2.25,11.59,31.35,13.34,0.911,7.0,2020-06-19 02:00:00
2020-06-20,1,2020,23.54,39.93,22.49,37.58,448.0,2.02,11.01,30.84,13.39,0.997,6.9,2020-06-20 02:00:00
2020-06-21,1,2020,21.98,43.17,24.22,32.61,443.0,1.81,12.39,31.08,14.85,0.978,6.9,2020-06-21 02:00:00
2020-06-22,1,2020,19.68,42.01,24.12,33.87,460.0,2.07,9.8,31.5,13.02,0.959,6.9,2020-06-22 02:00:00
2020-06-23,1,2020,15.87,40.45,23.06,36.49,429.0,2.22,11.74,30.48,12.87,0.944,6.8,2020-06-23 02:00:00
2020-06-24,1,2020,17.48,44.16,25.53,30.31,413.0,2.18,10.07,31.85,15.15,0.997,6.8,2020-06-24 02:00:00
2020-06-25,1,2020,17.79,41.66,25.82,32.52,450.0,2.22,10.25,30.14,14.7,1.008,6.7,2020-06-25 02:00:00
2020-06-26,1,2020,15.49,44.59,24.6,30.81,448.0,2.33,10.96,30.59,14.95,1.028,6.8,2020-06-26 02:00:00
2020-06-27,1,2020,13.16,43.17,22.54,34.29,459.0,2.03,10.88,29.48,15.18,0.947,6.8,2020-06-27 02:00:00
2020-06-28,1,2020,13.22,42.27,24.82,32.91,445.0,2.25,12.93,32.53,14.49,1.026,7.0,2020-06-28 02:00:00
2020-06-29,1,2020,10.47,41.78,24.7,33.52,440.0,2.22,11.98,30.42,13.34,0.992,6.8,2020-06-29 02:00:00
2020-06-30,1,2020,13.74,41.49,23.66,34.85,441.0,1.95,12.49,29.8,14.77,0.87,6.9,2020-06-30 02:00:00
2020-07-01,1,2020,11.73,41.46,23.97,34.57,446.0,2.24,11.55,30.52,13.17,1.072,6.9,2020-07-01 02:00:00
2020-07-02,1,2020,11.22,40.46,26.22,33.32,453.0,2.29,14.14,32.61,14.43,0.974,6.9,2020-07-02 02:00:00
2020-07-03,1,2020,10.12,43.95,23.96,32.09,456.0,2.27,11.44,30.38,14.41,1.103,6.7,2020-07-03 02:00:00
2020-07-04,1,2020,7.45,44.18,23.64,32.18,460.0,2.25,14.75,31.63,14.39,0.87,7.0,2020-07-04 02:00:00
2020-07-05,1,2020,5.56,41.75,23.95,34.3,464.0,2.22,11.82,31.08,14.08,1.055,7.0,2020-07-05 02:00:00
2020-07-06,1,2020,5.0,40.03,24.0,35.97,469.0,1.94,11.58,30.75,13.82,0.997,7.0,2020-07-06 02:00:00
2020-07-07,1,2020,7.86,43.29,26.46,30.25,440.0,2.06,11.93,32.98,16.17,0.945,6.9,2020-07-07 02:00:00
2020-07-08,1,2020,9.0,43.82,25.67,30.51,453.0,2.18,13.04,31.99,12.69,0.962,6.9,2020-07-08 02:00:00
2020-07-09,1,2020,6.35,42.85,23.69,33.46,438.0,2.11,11.72,29.53,12.42,0.941,6.9,2020-07-09 02:00:00
2020-07-10,1,2020,5.54,43.23,27.31,29.46,437.0,2.17,10.82,30.48,14.38,1.052,6.6,2020-07-10 02:00:00
2020-07-11,1,2020,5.57,41.52,23.98,34.5,451.0,2.24,12.61,31.04,14.92,0.997,6.8,2020-07-11 02:00:00
2020-07-12,1,2020,6.49,41.29,24.93,33.78,448.0,2.26,13.11,31.34,13.4,1.068,6.9,2020-07-12 02:00:00
2020-07-13,1,2020,5.0,43.39,24.9,31.71,450.0,2.28,11.81,32.16,13.23,0.977,6.9,2020-07-13 02:00:00
2020-07-14,1,2020,6.39,41.06,25.65,33.29,446.0,2.11,11.34,31.56,13.39,0.901,6.8,2020-07-14 02:00:00
2020-07-15,1,2020,6.24,42.55,22.24,35.21,441.0,2.42,12.16,30.96,12.6,0.928,6.7,2020-07-15 02:00:00
2020-07-16,1,2020,5.0,39.29,22.2,38.51,456.0,1.97,12.8,32.57,14.88,0.946,6.9,2020-07-16 02:00:00
2020-07-17,1,2020,5.0,42.34,23.16,34.5,454.0,2.09,12.05,30.88,13.57,1.083,6.9,2020-07-17 02:00:00
2020-07-18,1,2020,6.06,38.59,24.46,36.95,465.0,2.32,11.69,30.85,13.61,0.936,6.9,2020-07-18 02:00:00
