time,region_id,year_id,crop_id,irrigation_id,region_name,region_country,region_latitude,region_longitude,region_elevation_m,region_area_km2,region_description,year_label,year_start_date,year_end_date,year_season,crop_name,scientific_name,crop_family,water_requirement_mm_season,growing_period_days,crop_description,irrigation_name,irrigation_efficiency_percent_dim,water_application_uniformity,irrigation_description,wind_speed_kmh,wind_gust_kmh,wind_direction,rainfall_mm,rainfall_delta_percent,ph_level,npk_index,temperature_c,humidity_percent,moisture_content_percent,sand_ratio,clay_ratio,silt_ratio,root_zone_depth_mm,organic_matter_percent,infiltration_rate_mmhr,field_capacity_percent,wilting_point_percent,salinity_ece_dsm,soil_ph_level,seasonal_rainfall_variability,temperature_max_c,temperature_min_c,temperature_mean_c,relative_humidity_percent,wind_speed_ms,solar_radiation_mjm2day,evapotranspiration_et0_mmday,evapotranspiration_etc_mmday,spi_1month,spi_3month,spi_12month,spei_1month,spei_3month,spei_12month,pdsi_value,drought_severity_class,growth_stage,crop_coefficient_kc,crop_water_requirement_mmday,yield_reduction_factor,irrigation_method_name,irrigation_efficiency_percent,water_applied_mm,leaf_temperature_c,stomatal_conductance,ndvi,ndwi,land_surface_temperature_c,lst_c,satellite_soil_moisture_percent,satellite_source,vegetation_condition_index,evapotranspiration_sebal_mmday,precipitation_mm,evapotranspiration_mm,groundwater_depth_m,runoff_mm,river_flow_m3s,reservoir_storage_m3,irrigation_supply_available_m3,soil_water_deficit_index_mm,water_balance_percent,risk_level,risk_score,recommendation,factors,soil_moisture_pct,irrigation_mm,temp_max_c,temp_min_c,humidity_pct,wind_speed_ms_daily,solar_radiation_wm2,etc_mm,soil_water_mm,spi,crop_type,days_since_planting,created_at,updated_at
2020-01-12,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,13.6,24.7,SE,0.3,-92.0,7.3,Medium,22.5,70.0,26.31,43.99,23.91,32.1,426.0,2.12,11.44,30.33,12.85,0.797,7.0,Low,29.0,16.1,22.5,70.0,3.76,20.15,6.03,6.03,-0.66,-0.66,-0.66,-1.53,-1.35,-1.24,-1.66,Abnormally Dry,Germination,0.66,3.98,0.577,Drip Irrigation,61.0,1.39,31.4,0.411,0.769,0.194,25.82,25.82,30.57,MODIS,93.62,5.49,0.3,6.0,4.4,0.0,11.53,4595485.0,87479.0,5.78,4.19,Moderate,43.3,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.7, ""soil_moisture"": 25.4, ""temperature"": 29.0}",25.37,0.0,29.01,16.09,70.26,3.76,233.2,6.03,132.57,-0.66,wheat,11,2020-01-12 01:00:00,2020-01-12 02:00:00
2020-01-13,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,11.8,26.4,S,0.5,112.0,7.4,Medium,21.7,67.0,23.97,44.73,24.7,30.57,429.0,2.07,11.34,30.4,14.63,0.817,7.0,Low,27.0,16.5,21.7,67.0,3.28,21.07,6.22,6.22,-0.52,-0.55,-0.55,-1.37,-1.23,-1.12,-1.51,Abnormally Dry,Germination,0.69,4.29,0.606,Drip Irrigation,61.0,1.5,28.8,0.439,0.753,0.216,25.98,25.98,27.17,MODIS,87.34,5.46,0.5,6.2,5.34,0.3,10.06,4486557.0,92867.0,5.69,8.61,Moderate,43.7,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.5, ""soil_moisture"": 23.7, ""temperature"": 27.0}",23.66,0.0,27.02,16.46,66.83,3.28,243.92,6.22,126.78,-0.52,wheat,12,2020-01-13 01:00:00,2020-01-13 02:00:00
2020-01-14,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,9.9,17.8,SW,5.5,920.0,7.2,Medium,22.7,76.0,27.52,43.39,24.5,32.11,417.0,2.51,14.19,31.9,13.8,0.817,6.8,Low,29.3,16.1,22.7,76.0,2.75,21.46,6.36,6.36,2.03,0.91,0.91,1.9,0.8,0.82,0.96,None,Germination,0.67,4.26,0.565,Drip Irrigation,73.0,1.49,31.3,0.432,0.758,0.422,26.86,26.86,29.95,MODIS,89.31,5.78,5.5,6.4,5.04,0.9,17.93,4526085.0,83753.0,0.9,85.89,Moderate,32.1,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 14.5, ""soil_moisture"": 26.1, ""temperature"": 29.3}",26.1,0.0,29.28,16.1,75.63,2.75,248.33,6.36,125.78,2.03,wheat,13,2020-01-14 01:00:00,2020-01-14 02:00:00
2020-01-15,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,11.1,16.4,SE,1.6,-71.0,7.1,Medium,22.0,72.0,24.3,42.92,23.95,33.13,428.0,2.25,12.63,30.12,13.88,0.819,7.0,Low,26.5,17.6,22.0,72.0,3.08,21.75,6.41,6.41,0.02,-0.29,-0.29,-0.71,-0.87,-0.77,-1.07,None,Germination,0.6,3.85,0.579,Drip Irrigation,63.0,1.35,28.6,0.466,0.778,0.278,25.77,25.77,31.74,MODIS,97.4,5.7,1.6,6.4,5.11,0.0,15.83,4502468.0,103874.0,4.84,24.46,Moderate,35.7,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 18.4, ""soil_moisture"": 25.3, ""temperature"": 26.5}",25.26,0.0,26.47,17.59,71.83,3.08,251.75,6.41,120.84,0.02,wheat,14,2020-01-15 01:00:00,2020-01-15 02:00:00
2020-01-16,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,10.0,19.1,S,0.3,-79.0,7.3,Medium,22.2,72.0,21.33,41.71,21.83,36.46,445.0,2.22,10.62,30.58,15.32,0.792,6.9,Low,28.9,15.5,22.2,72.0,2.79,20.49,6.05,6.05,-0.63,-0.66,-0.66,-1.49,-1.35,-1.23,-1.65,Abnormally Dry,Germination,0.66,4.0,0.611,Drip Irrigation,56.0,1.4,30.0,0.435,0.763,0.176,27.95,27.95,31.41,MODIS,91.56,5.33,0.3,6.1,5.43,0.0,11.48,4401653.0,113048.0,5.73,5.42,Moderate,45.7,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.7, ""soil_moisture"": 23.3, ""temperature"": 28.9}",23.35,0.0,28.87,15.52,72.11,2.79,237.1,6.05,115.01,-0.63,wheat,15,2020-01-16 01:00:00,2020-01-16 02:00:00
2020-01-17,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,10.5,27.6,NE,1.0,214.0,7.1,Medium,21.9,69.0,24.36,41.37,23.34,35.29,413.0,2.41,12.32,30.1,14.56,0.815,7.0,Low,27.6,16.2,21.9,69.0,2.91,21.66,6.39,6.39,-0.26,-0.42,-0.42,-1.06,-1.06,-0.96,-1.31,None,Germination,0.75,4.79,0.633,Drip Irrigation,62.0,1.68,28.2,0.421,0.697,0.213,25.74,25.74,30.98,MODIS,64.6,5.98,1.0,6.4,5.4,1.6,9.67,4406837.0,97457.0,5.36,16.13,Moderate,46.2,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.0, ""soil_moisture"": 22.0, ""temperature"": 27.6}",22.01,0.0,27.64,16.18,68.94,2.91,250.71,6.39,109.56,-0.26,wheat,16,2020-01-17 01:00:00,2020-01-17 02:00:00
2020-01-18,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,11.4,19.2,SW,2.5,145.0,7.2,Medium,21.9,72.0,21.59,35.83,24.32,39.85,422.0,2.03,11.48,31.99,12.77,0.88,6.9,Low,27.4,16.4,21.9,72.0,3.15,20.49,6.04,6.04,0.51,0.09,0.09,-0.02,-0.33,-0.26,-0.42,None,Germination,0.7,4.23,0.633,Drip Irrigation,63.0,1.48,29.1,0.459,0.732,0.324,26.55,26.55,23.4,MODIS,78.77,5.92,2.5,6.0,4.97,0.0,16.0,4308786.0,128429.0,3.52,41.71,Moderate,42.1,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 17.5, ""soil_moisture"": 22.0, ""temperature"": 27.4}",22.05,0.0,27.43,16.38,71.69,3.15,237.12,6.04,105.94,0.51,wheat,17,2020-01-18 01:00:00,2020-01-18 02:00:00
2020-01-19,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,11.7,23.8,SE,1.3,-50.0,6.9,Medium,23.7,76.0,22.94,40.57,24.42,35.01,419.0,2.13,11.54,30.91,14.29,0.802,6.9,Low,30.1,17.3,23.7,76.0,3.24,21.28,6.42,6.42,-0.14,-0.34,-0.34,-0.91,-0.96,-0.86,-1.18,None,Germination,0.67,4.3,0.653,Drip Irrigation,60.0,1.5,32.2,0.462,0.733,0.232,25.15,25.15,30.74,MODIS,79.14,6.27,1.3,6.4,4.83,0.6,14.51,4315499.0,96827.0,5.16,19.64,Moderate,49.4,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 18.7, ""soil_moisture"": 20.8, ""temperature"": 30.1}",20.81,0.0,30.05,17.34,75.77,3.24,246.31,6.42,100.68,-0.14,wheat,18,2020-01-19 01:00:00,2020-01-19 02:00:00
2020-01-20,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,11.0,18.8,S,0.9,-27.0,7.1,Low,22.0,70.0,19.02,42.32,22.79,34.89,427.0,2.19,10.8,31.98,14.21,0.848,7.1,Low,28.7,15.2,22.0,70.0,3.05,19.61,5.8,5.8,-0.32,-0.45,-0.45,-1.05,-1.04,-0.94,-1.27,None,Germination,0.66,3.83,0.675,Drip Irrigation,62.0,1.34,29.7,0.435,0.729,0.215,26.99,26.99,28.2,MODIS,77.56,5.39,0.9,5.8,5.55,1.9,12.02,4224706.0,102413.0,4.88,15.83,High,52.6,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.1, ""soil_moisture"": 19.5, ""temperature"": 28.7}",19.48,0.0,28.73,15.23,69.91,3.05,226.92,5.8,95.69,-0.32,wheat,19,2020-01-20 01:00:00,2020-01-20 02:00:00
2020-01-21,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,9.7,22.6,E,0.7,-27.0,7.2,Low,22.1,72.0,17.96,42.44,24.91,32.65,419.0,2.32,12.25,29.76,13.57,0.881,6.9,Low,29.3,14.8,22.1,72.0,2.7,20.64,6.08,6.08,-0.45,-0.53,-0.53,-1.26,-1.18,-1.07,-1.45,None,Germination,0.65,3.95,0.703,Drip Irrigation,58.0,1.38,31.2,0.453,0.733,0.202,27.18,27.18,31.53,MODIS,79.36,5.55,0.7,6.1,5.22,0.0,8.81,4095483.0,80523.0,5.42,10.95,High,56.0,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 19.3, ""soil_moisture"": 17.8, ""temperature"": 29.3}",17.84,0.0,29.29,14.82,71.86,2.7,238.86,6.08,90.18,-0.45,wheat,20,2020-01-21 01:00:00,2020-01-21 02:00:00
2020-01-22,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,9.0,23.1,S,3.0,346.0,7.2,Low,21.9,73.0,17.0,42.16,24.0,33.84,420.0,2.25,11.86,29.18,12.99,0.794,6.9,Low,28.9,14.9,21.9,73.0,2.51,21.99,6.45,6.45,0.74,0.33,0.33,0.22,-0.09,-0.02,-0.13,None,Germination,0.71,4.58,0.698,Drip Irrigation,61.0,1.6,31.2,0.433,0.719,0.336,27.04,27.04,29.23,MODIS,73.46,6.09,3.0,6.4,5.2,0.6,20.17,4056925.0,111701.0,3.48,46.05,High,50.9,Prioritize irrigation and reduce plant stress.,"{""rainfall_deficit"": 17.0, ""soil_moisture"": 18.1, ""temperature"": 28.9}",18.11,0.0,28.87,14.94,72.52,2.51,254.56,6.45,86.6,0.74,wheat,21,2020-01-22 01:00:00,2020-01-22 02:00:00
